transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSGLP00000011305	Downstream
DIO.2.selenocysteine	ENSSGLP00000022365	Stop codon
GPX.11.selenocysteine	ENSSGLP00000017418	Skipped
GPX.11.selenocysteine	ENSSGLP00000017419	Skipped
GPX.11.selenocysteine	ENSSGLP00000017420	Downstream
GPX.11.selenocysteine	ENSSGLP00000017421	Downstream
GPX.11.selenocysteine	ENSSGLP00000017423	Downstream
GPX.13.selenocysteine	ENSSGLP00000006423	Downstream
GPX.18.selenocysteine	ENSSGLP00000006978	Downstream
GPX.2.selenocysteine	ENSSGLP00000037496	Downstream
GPX.4.selenocysteine	ENSSGLP00000055748	Downstream
GPX.5.selenocysteine	ENSSGLP00000050142	Skipped
MSRB.1.selenocysteine	ENSSGLP00000007168	Stop codon
MSRB.5.selenocysteine	ENSSGLP00000047844	Stop codon
SELENOE.4.selenocysteine	ENSSGLP00000060522	Skipped
SELENOF.1.selenocysteine	ENSSGLP00000015785	Skipped
SELENOI.2.selenocysteine	ENSSGLP00000034048	Skipped
SELENOI.2.selenocysteine	ENSSGLP00000034051	Upstream
SELENOI.2.selenocysteine	ENSSGLP00000034056	Stop codon
SELENOI.2.selenocysteine	ENSSGLP00000034058	Stop codon
SELENOK.1.selenocysteine	ENSSGLP00000010003	Stop codon
SELENON.10.selenocysteine	ENSSGLP00000034212	Skipped
SELENON.10.selenocysteine	ENSSGLP00000034215	Skipped
SELENOO.3.selenocysteine	ENSSGLP00000029594	Stop codon
SELENOP.4.selenocysteine	ENSSGLP00000018062	Downstream
SELENOS.2.selenocysteine	ENSSGLP00000013901	Stop codon
SELENOS.2.selenocysteine	ENSSGLP00000013902	Stop codon
SELENOU.10.selenocysteine	ENSSGLP00000001213	Downstream
SELENOU.10.selenocysteine	ENSSGLP00000001215	Stop codon
SELENOW.2.selenocysteine	ENSSGLP00000031186	Downstream
SEPHS2.10.selenocysteine	ENSSGLP00000062870	Downstream
SEPHS2.10.selenocysteine	ENSSGLP00000062871	Downstream
TXNRD.5.selenocysteine	ENSSGLP00000037927	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038031	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038035	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038036	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038112	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038113	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038119	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038121	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038157	Stop codon
TXNRD.5.selenocysteine	ENSSGLP00000038159	Stop codon
