transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSPANP00000044929	Upstream
DIO.3.selenocysteine	ENSPANP00000053839	Stop codon
DIO.4.selenocysteine	ENSPANP00000023066	Skipped
DIO.4.selenocysteine	ENSPANP00000028478	Stop codon
DIO.4.selenocysteine	ENSPANP00000031578	Skipped
DIO.4.selenocysteine	ENSPANP00000038327	Upstream
GPX.12.selenocysteine	ENSPANP00000031666	Skipped
GPX.18.selenocysteine	ENSPANP00000022110	Stop codon
GPX.18.selenocysteine	ENSPANP00000053589	Stop codon
GPX.18.selenocysteine	ENSPANP00000054879	Skipped
GPX.4.selenocysteine	ENSPANP00000032783	Downstream
GPX.6.selenocysteine	ENSPANP00000033445	Downstream
MSRB.2.selenocysteine	ENSPANP00000035127	Out of frame
MSRB.2.selenocysteine	ENSPANP00000035334	Skipped
MSRB.2.selenocysteine	ENSPANP00000040530	Out of frame
SELENOF.3.selenocysteine	ENSPANP00000001162	Out of frame
SELENOF.3.selenocysteine	ENSPANP00000045116	Skipped
SELENOF.3.selenocysteine	ENSPANP00000049447	Upstream
SELENOH.2.selenocysteine	ENSPANP00000039984	Skipped
SELENOI.3.selenocysteine	ENSPANP00000001950	Stop codon
SELENOI.3.selenocysteine	ENSPANP00000053634	Stop codon
SELENOI.3.selenocysteine	ENSPANP00000055961	Upstream
SELENOI.3.selenocysteine	ENSPANP00000058546	Upstream
SELENOK.1.selenocysteine	ENSPANP00000025856	Upstream
SELENOK.7.selenocysteine	ENSPANP00000041782	Stop codon
SELENOM.2.selenocysteine	ENSPANP00000047314	Skipped
SELENON.7.selenocysteine	ENSPANP00000005009	Stop codon
SELENON.7.selenocysteine	ENSPANP00000057078	Downstream
SELENOO.1.selenocysteine	ENSPANP00000013631	Stop codon
SELENOP.3.selenocysteine	ENSPANP00000042612	Out of frame
SELENOS.3.selenocysteine	ENSPANP00000046788	Upstream
SELENOT.5.selenocysteine	ENSPANP00000026449	Skipped
SELENOT.5.selenocysteine	ENSPANP00000052985	Downstream
SELENOW.3.selenocysteine	ENSPANP00000009944	Skipped
SELENOW.4.selenocysteine	ENSPANP00000009454	Skipped
SEPHS2.1.selenocysteine	ENSPANP00000057448	Downstream
TXNRD.29.selenocysteine	ENSPANP00000008219	Stop codon
TXNRD.29.selenocysteine	ENSPANP00000023081	Stop codon
TXNRD.29.selenocysteine	ENSPANP00000035204	Upstream
TXNRD.29.selenocysteine	ENSPANP00000035868	Stop codon
TXNRD.29.selenocysteine	ENSPANP00000037438	Upstream
TXNRD.29.selenocysteine	ENSPANP00000042056	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000006763	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000021517	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000027576	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000028006	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000040258	Stop codon
TXNRD.9.selenocysteine	ENSPANP00000046206	Stop codon
