transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02640021328	Downstream
DIO.1.selenocysteine	ENSP02640021331	Well annotated
DIO.3.selenocysteine	ENSP02640063455	Well annotated
DIO.3.selenocysteine	ENSP02640063456	Well annotated
DIO.3.selenocysteine	ENSP02640063458	Upstream
DIO.3.selenocysteine	ENSP02640063459	Out of frame
DIO.3.selenocysteine	ENSP02640063461	Upstream
DIO.3.selenocysteine	ENSP02640063463	Upstream
DIO.3.selenocysteine	ENSP02640063465	Upstream
DIO.4.selenocysteine	ENSP02640051820	Well annotated
DIO.4.selenocysteine	ENSP02640051821	Well annotated
DIO.4.selenocysteine	ENSP02640051822	Well annotated
DIO.4.selenocysteine	ENSP02640051823	Out of frame
DIO.4.selenocysteine	ENSP02640051824	Out of frame
DIO.4.selenocysteine	ENSP02640051825	Upstream
DIO.4.selenocysteine	ENSP02640051827	Out of frame
DIO.4.selenocysteine	ENSP02640051829	Skipped
DIO.4.selenocysteine	ENSP02640051830	Downstream
DIO.4.selenocysteine	ENSP02640051831	Well annotated
DIO.4.selenocysteine	ENSP02640051832	Upstream
DIO.4.selenocysteine	ENSP02640051833	Upstream
GPX.11.selenocysteine	ENSP02640042368	Well annotated
GPX.11.selenocysteine	ENSP02640042369	Well annotated
GPX.11.selenocysteine	ENSP02640042370	Well annotated
GPX.11.selenocysteine	ENSP02640042371	Well annotated
GPX.11.selenocysteine	ENSP02640042372	Well annotated
GPX.11.selenocysteine	ENSP02640042373	Well annotated
GPX.11.selenocysteine	ENSP02640042374	Well annotated
GPX.11.selenocysteine	ENSP02640042375	Downstream
GPX.11.selenocysteine	ENSP02640042376	Well annotated
GPX.11.selenocysteine	ENSP02640042377	Well annotated
GPX.11.selenocysteine	ENSP02640042378	Well annotated
GPX.11.selenocysteine	ENSP02640042379	Downstream
GPX.16.selenocysteine	ENSP02640038181	Well annotated
GPX.16.selenocysteine	ENSP02640038182	Well annotated
GPX.16.selenocysteine	ENSP02640038183	Upstream
GPX.16.selenocysteine	ENSP02640038184	Upstream
GPX.16.selenocysteine	ENSP02640038185	Out of frame
GPX.18.selenocysteine	ENSP02640107885	Well annotated
GPX.18.selenocysteine	ENSP02640107886	Well annotated
GPX.3.selenocysteine	ENSP02640085621	Well annotated
GPX.3.selenocysteine	ENSP02640085622	Well annotated
GPX.3.selenocysteine	ENSP02640085623	Skipped
GPX.3.selenocysteine	ENSP02640085624	Well annotated
GPX.3.selenocysteine	ENSP02640085625	Well annotated
GPX.3.selenocysteine	ENSP02640085627	Well annotated
GPX.3.selenocysteine	ENSP02640085628	Skipped
GPX.3.selenocysteine	ENSP02640085630	Well annotated
GPX.3.selenocysteine	ENSP02640085631	Well annotated
GPX.3.selenocysteine	ENSP02640085633	Well annotated
GPX.3.selenocysteine	ENSP02640085634	Well annotated
GPX.3.selenocysteine	ENSP02640085636	Upstream
GPX.3.selenocysteine	ENSP02640085638	Well annotated
GPX.3.selenocysteine	ENSP02640085640	Well annotated
GPX.5.selenocysteine	ENSP02640041315	Well annotated
GPX.5.selenocysteine	ENSP02640041316	Well annotated
GPX.5.selenocysteine	ENSP02640041318	Skipped
GPX.5.selenocysteine	ENSP02640041320	Well annotated
MSRB.2.selenocysteine	ENSP02640072532	Well annotated
MSRB.2.selenocysteine	ENSP02640072533	Upstream
MSRB.2.selenocysteine	ENSP02640072534	Out of frame
MSRB.2.selenocysteine	ENSP02640072535	Out of frame
SELENOF.3.selenocysteine	ENSP02640109896	Well annotated
SELENOF.3.selenocysteine	ENSP02640109897	Well annotated
SELENOF.3.selenocysteine	ENSP02640109898	Well annotated
SELENOF.3.selenocysteine	ENSP02640109899	Out of frame
SELENOF.3.selenocysteine	ENSP02640109900	Out of frame
SELENOH.2.selenocysteine	ENSP02640054575	Well annotated
SELENOH.2.selenocysteine	ENSP02640054577	Well annotated
SELENOH.2.selenocysteine	ENSP02640054578	Out of frame
SELENOI.3.selenocysteine	ENSP02640042327	Upstream
SELENOI.3.selenocysteine	ENSP02640042328	Well annotated
SELENOI.3.selenocysteine	ENSP02640042329	Upstream
SELENOK.7.selenocysteine	ENSP02640096275	Well annotated
SELENOK.7.selenocysteine	ENSP02640096276	Out of frame
SELENOM.2.selenocysteine	ENSP02640007428	Well annotated
SELENOM.2.selenocysteine	ENSP02640007433	Well annotated
SELENON.4.selenocysteine	ENSP02640061791	Well annotated
SELENON.4.selenocysteine	ENSP02640061792	Well annotated
SELENON.4.selenocysteine	ENSP02640061793	Well annotated
SELENON.4.selenocysteine	ENSP02640061794	Well annotated
SELENOO.7.selenocysteine	ENSP02640064864	Well annotated
SELENOP.3.selenocysteine	ENSP02640085202	Well annotated
SELENOP.3.selenocysteine	ENSP02640085203	Well annotated
SELENOP.3.selenocysteine	ENSP02640085205	Well annotated
SELENOP.3.selenocysteine	ENSP02640085207	Well annotated
SELENOP.3.selenocysteine	ENSP02640085210	Well annotated
SELENOP.3.selenocysteine	ENSP02640085213	Well annotated
SELENOS.2.selenocysteine	ENSP02640045452	Well annotated
SELENOS.2.selenocysteine	ENSP02640045453	Well annotated
SELENOS.2.selenocysteine	ENSP02640045454	Well annotated
SELENOS.2.selenocysteine	ENSP02640045455	Upstream
SELENOT.5.selenocysteine	ENSP02640043517	Downstream
SELENOT.5.selenocysteine	ENSP02640043518	Downstream
SELENOT.5.selenocysteine	ENSP02640043519	Well annotated
SELENOT.5.selenocysteine	ENSP02640043520	Upstream
SELENOT.5.selenocysteine	ENSP02640043522	Downstream
SELENOW.3.selenocysteine	ENSP02640001983	Well annotated
SELENOW.4.selenocysteine	ENSP02640004559	Well annotated
SELENOW.4.selenocysteine	ENSP02640004560	Well annotated
SELENOW.4.selenocysteine	ENSP02640004561	Well annotated
SELENOW.4.selenocysteine	ENSP02640004562	Well annotated
SEPHS2.1.selenocysteine	ENSP02640099347	Well annotated
TXNRD.10.selenocysteine	ENSP02640086903	Well annotated
TXNRD.10.selenocysteine	ENSP02640086904	Upstream
TXNRD.10.selenocysteine	ENSP02640086905	Well annotated
TXNRD.10.selenocysteine	ENSP02640086906	Well annotated
TXNRD.10.selenocysteine	ENSP02640086907	Upstream
TXNRD.10.selenocysteine	ENSP02640086908	Well annotated
TXNRD.10.selenocysteine	ENSP02640086909	Upstream
TXNRD.10.selenocysteine	ENSP02640086910	Well annotated
TXNRD.10.selenocysteine	ENSP02640086911	Upstream
TXNRD.10.selenocysteine	ENSP02640086912	Well annotated
TXNRD.10.selenocysteine	ENSP02640086913	Upstream
TXNRD.10.selenocysteine	ENSP02640086914	Upstream
TXNRD.10.selenocysteine	ENSP02640086915	Well annotated
TXNRD.10.selenocysteine	ENSP02640086916	Upstream
TXNRD.10.selenocysteine	ENSP02640086917	Upstream
TXNRD.13.selenocysteine	ENSP02640071853	Well annotated
TXNRD.13.selenocysteine	ENSP02640071857	Well annotated
TXNRD.34.selenocysteine	ENSP02640002256	Well annotated
TXNRD.34.selenocysteine	ENSP02640002258	Well annotated
TXNRD.34.selenocysteine	ENSP02640002259	Out of frame
TXNRD.34.selenocysteine	ENSP02640002260	Well annotated
TXNRD.34.selenocysteine	ENSP02640002261	Well annotated
TXNRD.34.selenocysteine	ENSP02640002262	Well annotated
TXNRD.34.selenocysteine	ENSP02640002263	Well annotated
TXNRD.34.selenocysteine	ENSP02640002265	Well annotated
TXNRD.34.selenocysteine	ENSP02640002267	Well annotated
TXNRD.34.selenocysteine	ENSP02640002269	Well annotated
TXNRD.34.selenocysteine	ENSP02640002271	Upstream
TXNRD.34.selenocysteine	ENSP02640002274	Upstream
