transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXF18130.1	Downstream
DIO.3.selenocysteine	cds-RHOROS_R15214	Well annotated
DIO.5.selenocysteine	cds-NXF18769.1	Stop codon
GPX.13.selenocysteine	cds-RHOROS_R12097	Skipped
GPX.2.selenocysteine	cds-NXF14778.1	Downstream
GPX.3.selenocysteine	cds-NXF27129.1	Downstream
GPX.5.selenocysteine	cds-NXF24105.1	Stop codon
MSRB.1.selenocysteine	cds-NXF22605.1	Stop codon
SELENOF.3.selenocysteine	cds-NXF14616.1	Upstream
SELENOF.3.selenocysteine	cds-NXF14705.1	Downstream
SELENOH.2.selenocysteine	cds-NXF25651.1	Downstream
SELENOI.7.selenocysteine	cds-RHOROS_R01493	Out of frame
SELENOK.2.selenocysteine	cds-NXF14725.1	Stop codon
SELENOM.3.selenocysteine	cds-NXF26955.1	Downstream
SELENON.5.selenocysteine	cds-NXF21787.1	Skipped
SELENOO.3.selenocysteine	cds-NXF17095.1	Stop codon
SELENOP.1.selenocysteine	cds-NXF14528.1	Downstream
SELENOP.4.selenocysteine	cds-NXF23115.1	Downstream
SELENOT.2.selenocysteine	cds-NXF26044.1	Downstream
SELENOU.6.selenocysteine	cds-NXF20964.1	Downstream
SELENOU.6.selenocysteine	cds-NXF20979.1	Stop codon
TXNRD.10.selenocysteine	cds-NXF14886.1	Stop codon
TXNRD.18.selenocysteine	cds-NXF26992.1	Upstream
TXNRD.34.selenocysteine	cds-NXF18491.1	Stop codon
