transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXF98469.1	Downstream
DIO.3.selenocysteine	cds-NXF91347.1	Downstream
DIO.5.selenocysteine	cds-NXF94412.1	Stop codon
GPX.1.selenocysteine	cds-NXF90070.1	Downstream
GPX.10.selenocysteine	cds-EUBBOU_R00090	Out of frame
GPX.3.selenocysteine	cds-NXF91225.1	Downstream
GPX.4.selenocysteine	cds-EUBBOU_R14632	Well annotated
MSRB.1.selenocysteine	cds-NXF88825.1	Stop codon
SELENOF.2.selenocysteine	cds-NXF90563.1	Upstream
SELENOH.3.selenocysteine	cds-NXF89632.1	Downstream
SELENOI.5.selenocysteine	cds-EUBBOU_R10546	Out of frame
SELENOK.2.selenocysteine	cds-NXF90087.1	Stop codon
SELENOM.3.selenocysteine	cds-NXF96877.1	Downstream
SELENON.8.selenocysteine	cds-EUBBOU_R11145	Well annotated
SELENOO.3.selenocysteine	cds-NXF85692.1	Stop codon
SELENOP.3.selenocysteine	cds-NXF95353.1	Downstream
SELENOP.5.selenocysteine	cds-NXF86325.1	Downstream
SELENOS.5.selenocysteine	cds-NXF97198.1	Upstream
SELENOT.2.selenocysteine	cds-NXF91877.1	Downstream
SELENOU.8.selenocysteine	cds-NXF91367.1	Stop codon
SELENOU.8.selenocysteine	cds-NXF91368.1	Downstream
TXNRD.3.selenocysteine	cds-NXF92343.1	Stop codon
TXNRD.34.selenocysteine	cds-NXF88443.1	Stop codon
TXNRD.37.selenocysteine	cds-NXF84796.1	Upstream
