transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01050072048	Downstream
DIO.1.selenocysteine	ENSP01050072049	Well annotated
DIO.3.selenocysteine	ENSP01050019111	Well annotated
DIO.3.selenocysteine	ENSP01050019112	Well annotated
DIO.3.selenocysteine	ENSP01050019115	Upstream
DIO.3.selenocysteine	ENSP01050019119	Out of frame
DIO.3.selenocysteine	ENSP01050019124	Upstream
DIO.3.selenocysteine	ENSP01050019126	Upstream
DIO.3.selenocysteine	ENSP01050019128	Upstream
DIO.4.selenocysteine	ENSP01050089188	Well annotated
DIO.4.selenocysteine	ENSP01050089191	Well annotated
DIO.4.selenocysteine	ENSP01050089193	Well annotated
DIO.4.selenocysteine	ENSP01050089194	Out of frame
DIO.4.selenocysteine	ENSP01050089196	Out of frame
DIO.4.selenocysteine	ENSP01050089197	Upstream
DIO.4.selenocysteine	ENSP01050089200	Out of frame
DIO.4.selenocysteine	ENSP01050089202	Skipped
DIO.4.selenocysteine	ENSP01050089205	Downstream
DIO.4.selenocysteine	ENSP01050089207	Well annotated
DIO.4.selenocysteine	ENSP01050089209	Upstream
DIO.4.selenocysteine	ENSP01050089212	Upstream
GPX.12.selenocysteine	ENSP01050101392	Well annotated
GPX.12.selenocysteine	ENSP01050101394	Well annotated
GPX.12.selenocysteine	ENSP01050101395	Upstream
GPX.12.selenocysteine	ENSP01050101398	Upstream
GPX.12.selenocysteine	ENSP01050101402	Out of frame
GPX.20.selenocysteine	ENSP01050093504	Well annotated
GPX.20.selenocysteine	ENSP01050093505	Well annotated
GPX.25.selenocysteine	ENSP01050010797	Well annotated
GPX.25.selenocysteine	ENSP01050010798	Well annotated
GPX.25.selenocysteine	ENSP01050010799	Well annotated
GPX.25.selenocysteine	ENSP01050010802	Well annotated
GPX.25.selenocysteine	ENSP01050010806	Well annotated
GPX.25.selenocysteine	ENSP01050010808	Well annotated
GPX.25.selenocysteine	ENSP01050010811	Well annotated
GPX.25.selenocysteine	ENSP01050010813	Downstream
GPX.25.selenocysteine	ENSP01050010814	Well annotated
GPX.25.selenocysteine	ENSP01050010815	Well annotated
GPX.25.selenocysteine	ENSP01050010816	Well annotated
GPX.25.selenocysteine	ENSP01050010819	Downstream
GPX.3.selenocysteine	ENSP01050102818	Well annotated
GPX.3.selenocysteine	ENSP01050102819	Well annotated
GPX.3.selenocysteine	ENSP01050102820	Skipped
GPX.3.selenocysteine	ENSP01050102821	Well annotated
GPX.3.selenocysteine	ENSP01050102822	Well annotated
GPX.3.selenocysteine	ENSP01050102823	Well annotated
GPX.3.selenocysteine	ENSP01050102824	Skipped
GPX.3.selenocysteine	ENSP01050102825	Well annotated
GPX.3.selenocysteine	ENSP01050102826	Well annotated
GPX.3.selenocysteine	ENSP01050102827	Well annotated
GPX.3.selenocysteine	ENSP01050102828	Well annotated
GPX.3.selenocysteine	ENSP01050102829	Upstream
GPX.3.selenocysteine	ENSP01050102830	Well annotated
GPX.3.selenocysteine	ENSP01050102831	Well annotated
