transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSFSP00010041395	Stop codon
DIO.1.selenocysteine	ENSSFSP00010041396	Downstream
DIO.2.selenocysteine	ENSSFSP00010041458	Downstream
DIO.4.selenocysteine	ENSSFSP00010013303	Stop codon
DIO.4.selenocysteine	ENSSFSP00010013305	Downstream
DIO.7.selenocysteine	ENSSFSP00010007318	Skipped
DIO.7.selenocysteine	ENSSFSP00010007321	Downstream
GPX.10.selenocysteine	ENSSFSP00010023009	Downstream
GPX.13.selenocysteine	ENSSFSP00010036321	Downstream
GPX.17.selenocysteine	ENSSFSP00010055788	Skipped
GPX.17.selenocysteine	ENSSFSP00010055789	Downstream
GPX.3.selenocysteine	ENSSFSP00010001025	Downstream
GPX.4.selenocysteine	ENSSFSP00010050704	Downstream
GPX.6.selenocysteine	ENSSFSP00010021559	Skipped
GPX.8.selenocysteine	ENSSFSP00010039440	Skipped
MSRB.1.selenocysteine	ENSSFSP00010017171	Stop codon
MSRB.2.selenocysteine	ENSSFSP00010017406	Stop codon
MSRB.4.selenocysteine	ENSSFSP00010025838	Stop codon
SELENOF.1.selenocysteine	ENSSFSP00010042412	Skipped
SELENOI.4.selenocysteine	ENSSFSP00010019068	Upstream
SELENOI.4.selenocysteine	ENSSFSP00010019069	Upstream
SELENOI.4.selenocysteine	ENSSFSP00010019070	Skipped
SELENOI.4.selenocysteine	ENSSFSP00010019071	Stop codon
SELENOJ.13.selenocysteine	ENSSFSP00010024559	Upstream
SELENOJ.13.selenocysteine	ENSSFSP00010024563	Skipped
SELENOJ.6.selenocysteine	ENSSFSP00010044125	Skipped
SELENOK.1.selenocysteine	ENSSFSP00010046845	Stop codon
SELENOM.3.selenocysteine	ENSSFSP00010001765	Downstream
SELENON.10.selenocysteine	ENSSFSP00010036091	Skipped
SELENON.10.selenocysteine	ENSSFSP00010036092	Skipped
SELENON.10.selenocysteine	ENSSFSP00010036093	Skipped
SELENOO.13.selenocysteine	ENSSFSP00010009863	Stop codon
SELENOO.3.selenocysteine	ENSSFSP00010044270	Stop codon
SELENOS.10.selenocysteine	ENSSFSP00010000405	Stop codon
SELENOT.2.selenocysteine	ENSSFSP00010012617	Downstream
SELENOT.2.selenocysteine	ENSSFSP00010012619	Downstream
SELENOT.7.selenocysteine	ENSSFSP00010032075	Downstream
SELENOU.11.selenocysteine	ENSSFSP00010040268	Downstream
SELENOU.4.selenocysteine	ENSSFSP00010037850	Downstream
SELENOU.4.selenocysteine	ENSSFSP00010037851	Stop codon
SELENOU.5.selenocysteine	ENSSFSP00010037848	Out of frame
SEPHS2.3.selenocysteine	ENSSFSP00010042166	Skipped
TXNRD.2.selenocysteine	ENSSFSP00010030418	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030614	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030643	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030670	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030674	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030675	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030676	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030681	Upstream
TXNRD.2.selenocysteine	ENSSFSP00010030683	Skipped
TXNRD.2.selenocysteine	ENSSFSP00010030685	Well annotated
TXNRD.30.selenocysteine	ENSSFSP00010047316	Upstream
TXNRD.30.selenocysteine	ENSSFSP00010047317	Upstream
