transcript_id	transcript_id_ens	Type_annotation
DIO.10.selenocysteine	cds-XP_078672515.1	Stop codon
DIO.10.selenocysteine	cds-XP_078672516.1	Downstream
DIO.11.selenocysteine	cds-XP_078672532.1	Downstream
DIO.2.selenocysteine	cds-XP_078699017.1	Well annotated
DIO.3.selenocysteine	cds-XP_078684642.1	Downstream
DIO.4.selenocysteine	cds-XP_078684643.1	Downstream
FrnE.1.selenocysteine	cds-XP_078694463.1	Well annotated
FrnE.1.selenocysteine	cds-XP_078694464.1	Well annotated
GPX.13.selenocysteine	cds-XP_078680211.1	Downstream
GPX.15.selenocysteine	cds-XP_078680212.1	Downstream
GPX.16.selenocysteine	cds-XP_078680213.1	Downstream
GPX.2.selenocysteine	cds-XP_078656159.1	Well annotated
GPX.2.selenocysteine	cds-XP_078656161.1	Well annotated
GPX.28.selenocysteine	cds-XP_078686260.1	Well annotated
GPX.7.selenocysteine	cds-XP_078672534.1	Well annotated
GPX.8.selenocysteine	cds-XP_078672534.1	Downstream
MSRB.1.selenocysteine	cds-XP_078692784.1	Well annotated
MsrA.2.selenocysteine	cds-XP_078689251.1	Downstream
MsrA.2.selenocysteine	cds-XP_078689252.1	Downstream
MsrA.2.selenocysteine	cds-XP_078689253.1	Downstream
MsrA.2.selenocysteine	cds-XP_078689254.1	Downstream
SELENOF.2.selenocysteine	cds-XP_078685915.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_078681692.1	Downstream
SELENOJ.2.selenocysteine	cds-XP_078685963.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_078697214.1	Stop codon
SELENOL.4.selenocysteine	cds-XP_078672504.1	Well annotated
SELENON.9.selenocysteine	cds-XP_078672697.1	Well annotated
SELENOO.13.selenocysteine	cds-XP_078661704.1	Stop codon
SELENOO.13.selenocysteine	cds-XP_078661705.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_078702094.1	Skipped
SELENOP.17.selenocysteine	cds-XP_078658280.1	Downstream
SELENOP.2.selenocysteine	cds-XP_078700806.1	Skipped
SELENOT.4.selenocysteine	cds-XP_078693140.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_078679724.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_078666921.1	Downstream
SELENOW.1.selenocysteine	cds-XP_078666922.1	Downstream
SEPHS2.3.selenocysteine	cds-XP_078676636.1	Downstream
SEPHS2.3.selenocysteine	cds-XP_078676637.1	Downstream
SEPHS2.3.selenocysteine	cds-XP_078676639.1	Downstream
TXNRD.2.selenocysteine	cds-XP_078658843.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_078677110.1	Stop codon
