transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_084415781.1	Well annotated
DIO.2.selenocysteine	cds-XP_084424799.1	Well annotated
DIO.4.selenocysteine	cds-XP_084424819.1	Well annotated
DIO.6.selenocysteine	cds-XP_084404047.1	Well annotated
GPX.12.selenocysteine	cds-XP_084405291.1	Well annotated
GPX.12.selenocysteine	cds-XP_084405292.1	Well annotated
GPX.12.selenocysteine	cds-XP_084405293.1	Well annotated
GPX.16.selenocysteine	cds-XP_084405706.1	Well annotated
GPX.19.selenocysteine	cds-XP_084401841.1	Well annotated
GPX.3.selenocysteine	cds-XP_084399278.1	Well annotated
GPX.4.selenocysteine	cds-XP_084399975.1	Well annotated
GPX.5.selenocysteine	cds-XP_084425322.1	Well annotated
GPX.8.selenocysteine	cds-XP_084423276.1	Well annotated
MSRB.4.selenocysteine	cds-XP_084424063.1	Well annotated
MSRB.7.selenocysteine	cds-XP_084426760.1	Well annotated
SELENOE.4.selenocysteine	cds-XP_084407957.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_084403408.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_084406566.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_084416949.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_084403156.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_084422419.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_084422420.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_084408929.1	Stop codon
SELENOL.3.selenocysteine	cds-XP_084416089.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_084407381.1	Well annotated
SELENON.5.selenocysteine	cds-XP_084425494.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_084411430.1	Stop codon
SELENOO.9.selenocysteine	cds-XP_084429978.1	Stop codon
SELENOP.2.selenocysteine	cds-XP_084407333.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_084403298.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_084397358.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_084405600.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_084403433.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_084417259.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_084417260.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_084417261.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_084426560.1	Well annotated
SEPHS2.3.selenocysteine	cds-XP_084410272.1	Well annotated
TXNRD.17.selenocysteine	cds-XP_084399452.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_084407422.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_084407423.1	Upstream
TXNRD.21.selenocysteine	cds-XP_084407424.1	Stop codon
TXNRD.21.selenocysteine	cds-XP_084407425.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_084429146.1	Stop codon
