transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01640028509	Downstream
DIO.1.selenocysteine	ENSP01640028591	Well annotated
DIO.3.selenocysteine	ENSP01640022388	Well annotated
DIO.3.selenocysteine	ENSP01640022469	Well annotated
DIO.3.selenocysteine	ENSP01640022742	Upstream
DIO.3.selenocysteine	ENSP01640022862	Out of frame
DIO.3.selenocysteine	ENSP01640023084	Upstream
DIO.3.selenocysteine	ENSP01640023226	Upstream
DIO.3.selenocysteine	ENSP01640023306	Upstream
DIO.4.selenocysteine	ENSP01640043164	Well annotated
DIO.4.selenocysteine	ENSP01640043313	Well annotated
DIO.4.selenocysteine	ENSP01640043448	Well annotated
DIO.4.selenocysteine	ENSP01640043562	Out of frame
DIO.4.selenocysteine	ENSP01640043699	Out of frame
DIO.4.selenocysteine	ENSP01640043830	Upstream
DIO.4.selenocysteine	ENSP01640044000	Out of frame
DIO.4.selenocysteine	ENSP01640044186	Skipped
DIO.4.selenocysteine	ENSP01640044284	Downstream
DIO.4.selenocysteine	ENSP01640044440	Well annotated
DIO.4.selenocysteine	ENSP01640044598	Upstream
DIO.4.selenocysteine	ENSP01640044727	Upstream
GPX.11.selenocysteine	ENSP01640008196	Well annotated
GPX.11.selenocysteine	ENSP01640008310	Well annotated
GPX.11.selenocysteine	ENSP01640008405	Well annotated
GPX.11.selenocysteine	ENSP01640008514	Well annotated
GPX.11.selenocysteine	ENSP01640008628	Well annotated
GPX.11.selenocysteine	ENSP01640008757	Well annotated
GPX.11.selenocysteine	ENSP01640008886	Well annotated
GPX.11.selenocysteine	ENSP01640009059	Downstream
GPX.11.selenocysteine	ENSP01640009148	Well annotated
GPX.11.selenocysteine	ENSP01640009282	Well annotated
GPX.11.selenocysteine	ENSP01640009497	Well annotated
GPX.11.selenocysteine	ENSP01640009869	Downstream
GPX.16.selenocysteine	ENSP01640047514	Well annotated
GPX.16.selenocysteine	ENSP01640047819	Well annotated
GPX.16.selenocysteine	ENSP01640048002	Upstream
GPX.16.selenocysteine	ENSP01640048140	Upstream
GPX.16.selenocysteine	ENSP01640048315	Out of frame
GPX.18.selenocysteine	ENSP01640019631	Well annotated
GPX.18.selenocysteine	ENSP01640019828	Well annotated
GPX.3.selenocysteine	ENSP01640043424	Well annotated
GPX.3.selenocysteine	ENSP01640043497	Well annotated
GPX.3.selenocysteine	ENSP01640043578	Skipped
GPX.3.selenocysteine	ENSP01640043639	Well annotated
GPX.3.selenocysteine	ENSP01640043674	Well annotated
GPX.3.selenocysteine	ENSP01640043754	Well annotated
GPX.3.selenocysteine	ENSP01640043847	Skipped
GPX.3.selenocysteine	ENSP01640043912	Well annotated
GPX.3.selenocysteine	ENSP01640043984	Well annotated
GPX.3.selenocysteine	ENSP01640044065	Well annotated
GPX.3.selenocysteine	ENSP01640044138	Well annotated
GPX.3.selenocysteine	ENSP01640044241	Upstream
GPX.3.selenocysteine	ENSP01640044300	Well annotated
GPX.3.selenocysteine	ENSP01640044397	Well annotated
GPX.5.selenocysteine	ENSP01640074036	Well annotated
GPX.5.selenocysteine	ENSP01640074122	Well annotated
GPX.5.selenocysteine	ENSP01640074187	Skipped
GPX.5.selenocysteine	ENSP01640074261	Well annotated
MSRB.3.selenocysteine	ENSP01640069398	Well annotated
MSRB.3.selenocysteine	ENSP01640069515	Upstream
MSRB.3.selenocysteine	ENSP01640069607	Out of frame
MSRB.3.selenocysteine	ENSP01640069693	Out of frame
SELENOF.3.selenocysteine	ENSP01640012578	Well annotated
SELENOF.3.selenocysteine	ENSP01640012729	Well annotated
SELENOF.3.selenocysteine	ENSP01640012846	Well annotated
SELENOF.3.selenocysteine	ENSP01640013179	Out of frame
SELENOF.3.selenocysteine	ENSP01640013366	Out of frame
