transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSCFP00010001256	Downstream
DIO.3.selenocysteine	ENSSCFP00010024773	Out of frame
DIO.5.selenocysteine	ENSSCFP00010025402	Skipped
DIO.8.selenocysteine	ENSSCFP00010022400	Upstream
DIO.8.selenocysteine	ENSSCFP00010022422	Stop codon
DIO.8.selenocysteine	ENSSCFP00010022456	Skipped
DIO.8.selenocysteine	ENSSCFP00010022473	Skipped
EhSEP2.19.selenocysteine	ENSSCFP00010007710	Out of frame
GPX.12.selenocysteine	ENSSCFP00010025493	Skipped
GPX.13.selenocysteine	ENSSCFP00010030134	Skipped
GPX.2.selenocysteine	ENSSCFP00010016527	Downstream
GPX.26.selenocysteine	ENSSCFP00010027890	Skipped
GPX.4.selenocysteine	ENSSCFP00010014270	Downstream
MSRB.1.selenocysteine	ENSSCFP00010004788	Stop codon
MSRB.1.selenocysteine	ENSSCFP00010004789	Stop codon
SELENOF.3.selenocysteine	ENSSCFP00010006688	Stop codon
SELENOF.3.selenocysteine	ENSSCFP00010006689	Skipped
SELENOH.1.selenocysteine	ENSSCFP00010000563	Downstream
SELENOI.10.selenocysteine	ENSSCFP00010021577	Upstream
SELENOI.10.selenocysteine	ENSSCFP00010021598	Stop codon
SELENOK.2.selenocysteine	ENSSCFP00010006042	Stop codon
SELENOM.2.selenocysteine	ENSSCFP00010026414	Skipped
SELENOO.3.selenocysteine	ENSSCFP00010022145	Stop codon
SELENOS.3.selenocysteine	ENSSCFP00010016168	Stop codon
SELENOT.2.selenocysteine	ENSSCFP00010026076	Skipped
SELENOW.4.selenocysteine	ENSSCFP00010031015	Stop codon
SELENOW.5.selenocysteine	ENSSCFP00010004137	Skipped
SEPHS2.1.selenocysteine	ENSSCFP00010030991	Downstream
SEPHS2.1.selenocysteine	ENSSCFP00010031024	Stop codon
TXNRD.13.selenocysteine	ENSSCFP00010028468	Stop codon
TXNRD.13.selenocysteine	ENSSCFP00010028500	Stop codon
TXNRD.18.selenocysteine	ENSSCFP00010003458	Upstream
TXNRD.18.selenocysteine	ENSSCFP00010022746	Stop codon
TXNRD.18.selenocysteine	ENSSCFP00010022809	Stop codon
TXNRD.18.selenocysteine	ENSSCFP00010022987	Stop codon
TXNRD.44.selenocysteine	ENSSCFP00010033768	Stop codon
TXNRD.44.selenocysteine	ENSSCFP00010033788	Upstream
