transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_065112506.1	Well annotated
DIO.2.selenocysteine	cds-XP_065131218.1	Well annotated
DIO.4.selenocysteine	cds-XP_065108199.1	Well annotated
DIO.5.selenocysteine	cds-XP_065102775.1	Well annotated
GPX.10.selenocysteine	cds-XP_065098628.1	Well annotated
GPX.10.selenocysteine	cds-XP_065098637.1	Well annotated
GPX.10.selenocysteine	cds-XP_065098645.1	Well annotated
GPX.19.selenocysteine	cds-XP_065118425.1	Well annotated
GPX.2.selenocysteine	cds-XP_065097036.1	Well annotated
GPX.24.selenocysteine	cds-XP_065116685.1	Downstream
GPX.4.selenocysteine	cds-XP_065135920.2	Well annotated
GPX.6.selenocysteine	cds-XP_065144841.1	Well annotated
MSRB.1.selenocysteine	cds-XP_065109010.1	Downstream
MSRB.1.selenocysteine	cds-XP_065109011.1	Downstream
MSRB.1.selenocysteine	cds-XP_065134036.1	Well annotated
MSRB.5.selenocysteine	cds-XP_065098596.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_065107016.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_065132269.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_065098825.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_065141563.1	Well annotated
SELENOJ.8.selenocysteine	cds-XP_065132159.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_065103840.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_065125060.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_065125061.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_065125062.1	Well annotated
SELENON.7.selenocysteine	cds-XP_065111242.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_065134885.2	Well annotated
SELENOO.8.selenocysteine	cds-XP_065134887.2	Well annotated
SELENOP.5.selenocysteine	cds-XP_065132463.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_065105481.1	Stop codon
SELENOT.10.selenocysteine	cds-XP_065125879.1	Well annotated
SELENOT.3.selenocysteine	cds-XP_065124035.1	Well annotated
SELENOT.7.selenocysteine	cds-XP_065121152.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_065153218.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_073670969.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_073670970.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_065108753.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_073670247.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_065140274.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_065142136.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_065106928.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_065149967.1	Stop codon
