transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_014941334.2	Well annotated
DIO.3.selenocysteine	cds-XP_014937250.2	Out of frame
DIO.5.selenocysteine	cds-XP_014927858.1	Well annotated
DIO.5.selenocysteine	cds-XP_014927859.1	Well annotated
DIO.5.selenocysteine	cds-XP_014927860.1	Well annotated
DIO.5.selenocysteine	cds-XP_014927861.1	Skipped
DIO.5.selenocysteine	cds-XP_053070049.1	Well annotated
GPX.13.selenocysteine	cds-XP_014919422.2	Well annotated
GPX.3.selenocysteine	cds-XP_026905289.1	Well annotated
GPX.3.selenocysteine	cds-XP_026905290.1	Well annotated
GPX.4.selenocysteine	cds-XP_014932604.1	Well annotated
GPX.6.selenocysteine	cds-XP_014923639.1	Well annotated
MSRB.1.selenocysteine	cds-XP_014936446.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_014925866.3	Well annotated
SELENOF.3.selenocysteine	cds-XP_014925867.3	Well annotated
SELENOH.2.selenocysteine	cds-XP_026900822.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_014919607.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_026889172.1	Upstream
SELENOK.3.selenocysteine	cds-XP_014940781.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_026906670.1	Well annotated
SELENON.12.selenocysteine	cds-XP_053065225.1	Well annotated
SELENON.12.selenocysteine	cds-XP_053065228.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_053055546.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_053055547.1	Upstream
SELENOS.8.selenocysteine	cds-XP_026923724.1	Stop codon
SELENOS.8.selenocysteine	cds-XP_053079608.1	Stop codon
SELENOT.1.selenocysteine	cds-XP_014927996.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_053060121.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_026893739.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_014932335.2	Well annotated
TXNRD.22.selenocysteine	cds-XP_053076267.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_026905477.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_026905479.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_026905480.1	Out of frame
TXNRD.31.selenocysteine	cds-XP_026905481.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_026905482.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_026905487.1	Upstream
TXNRD.7.selenocysteine	cds-XP_026926757.1	Upstream
TXNRD.7.selenocysteine	cds-XP_026926759.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_053082647.1	Stop codon
