transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01430001568	Downstream
DIO.1.selenocysteine	ENSP01430001569	Well annotated
DIO.3.selenocysteine	ENSP01430033412	Well annotated
DIO.3.selenocysteine	ENSP01430033414	Well annotated
DIO.3.selenocysteine	ENSP01430033418	Upstream
DIO.3.selenocysteine	ENSP01430033419	Out of frame
DIO.3.selenocysteine	ENSP01430033422	Upstream
DIO.3.selenocysteine	ENSP01430033423	Upstream
DIO.3.selenocysteine	ENSP01430033424	Upstream
DIO.4.selenocysteine	ENSP01430069846	Well annotated
DIO.4.selenocysteine	ENSP01430069847	Well annotated
DIO.4.selenocysteine	ENSP01430069848	Well annotated
DIO.4.selenocysteine	ENSP01430069849	Out of frame
DIO.4.selenocysteine	ENSP01430069850	Out of frame
DIO.4.selenocysteine	ENSP01430069851	Upstream
DIO.4.selenocysteine	ENSP01430069852	Out of frame
DIO.4.selenocysteine	ENSP01430069853	Skipped
DIO.4.selenocysteine	ENSP01430069854	Downstream
DIO.4.selenocysteine	ENSP01430069855	Well annotated
DIO.4.selenocysteine	ENSP01430069856	Upstream
DIO.4.selenocysteine	ENSP01430069857	Upstream
GPX.12.selenocysteine	ENSP01430100764	Well annotated
GPX.12.selenocysteine	ENSP01430100765	Well annotated
GPX.12.selenocysteine	ENSP01430100766	Upstream
GPX.12.selenocysteine	ENSP01430100767	Upstream
GPX.12.selenocysteine	ENSP01430100768	Out of frame
GPX.20.selenocysteine	ENSP01430042422	Well annotated
GPX.20.selenocysteine	ENSP01430042423	Well annotated
GPX.25.selenocysteine	ENSP01430017721	Well annotated
GPX.25.selenocysteine	ENSP01430017722	Well annotated
GPX.25.selenocysteine	ENSP01430017724	Well annotated
GPX.25.selenocysteine	ENSP01430017726	Well annotated
GPX.25.selenocysteine	ENSP01430017729	Well annotated
GPX.25.selenocysteine	ENSP01430017731	Well annotated
GPX.25.selenocysteine	ENSP01430017732	Well annotated
GPX.25.selenocysteine	ENSP01430017733	Downstream
GPX.25.selenocysteine	ENSP01430017734	Well annotated
GPX.25.selenocysteine	ENSP01430017735	Well annotated
GPX.25.selenocysteine	ENSP01430017736	Well annotated
GPX.25.selenocysteine	ENSP01430017739	Downstream
GPX.3.selenocysteine	ENSP01430090258	Well annotated
GPX.3.selenocysteine	ENSP01430090259	Well annotated
GPX.3.selenocysteine	ENSP01430090260	Skipped
GPX.3.selenocysteine	ENSP01430090261	Well annotated
GPX.3.selenocysteine	ENSP01430090262	Well annotated
GPX.3.selenocysteine	ENSP01430090263	Well annotated
GPX.3.selenocysteine	ENSP01430090264	Skipped
GPX.3.selenocysteine	ENSP01430090265	Well annotated
GPX.3.selenocysteine	ENSP01430090266	Well annotated
GPX.3.selenocysteine	ENSP01430090267	Well annotated
GPX.3.selenocysteine	ENSP01430090269	Well annotated
GPX.3.selenocysteine	ENSP01430090270	Upstream
GPX.3.selenocysteine	ENSP01430090271	Well annotated
GPX.3.selenocysteine	ENSP01430090273	Well annotated
GPX.5.selenocysteine	ENSP01430020945	Well annotated
GPX.5.selenocysteine	ENSP01430020946	Well annotated
GPX.5.selenocysteine	ENSP01430020948	Skipped
GPX.5.selenocysteine	ENSP01430020950	Well annotated
MSRB.3.selenocysteine	ENSP01430058727	Well annotated
MSRB.3.selenocysteine	ENSP01430058728	Upstream
MSRB.3.selenocysteine	ENSP01430058729	Out of frame
MSRB.3.selenocysteine	ENSP01430058731	Out of frame
SELENOF.3.selenocysteine	ENSP01430067607	Well annotated
SELENOF.3.selenocysteine	ENSP01430067608	Well annotated
SELENOF.3.selenocysteine	ENSP01430067609	Well annotated
SELENOF.3.selenocysteine	ENSP01430067610	Out of frame
SELENOF.3.selenocysteine	ENSP01430067611	Out of frame
SELENOH.2.selenocysteine	ENSP01430020926	Well annotated
SELENOH.2.selenocysteine	ENSP01430020930	Well annotated
SELENOH.2.selenocysteine	ENSP01430020931	Out of frame
SELENOI.3.selenocysteine	ENSP01430026927	Upstream
SELENOI.3.selenocysteine	ENSP01430026931	Well annotated
SELENOI.3.selenocysteine	ENSP01430026934	Upstream
SELENOK.7.selenocysteine	ENSP01430079304	Well annotated
SELENOK.7.selenocysteine	ENSP01430079305	Out of frame
SELENOM.2.selenocysteine	ENSP01430012423	Well annotated
SELENOM.2.selenocysteine	ENSP01430012425	Well annotated
SELENON.4.selenocysteine	ENSP01430044457	Well annotated
SELENON.4.selenocysteine	ENSP01430044458	Well annotated
SELENON.4.selenocysteine	ENSP01430044459	Well annotated
SELENON.4.selenocysteine	ENSP01430044460	Well annotated
SELENOO.7.selenocysteine	ENSP01430071275	Well annotated
SELENOP.3.selenocysteine	ENSP01430074671	Well annotated
SELENOP.3.selenocysteine	ENSP01430074672	Well annotated
SELENOP.3.selenocysteine	ENSP01430074673	Well annotated
SELENOP.3.selenocysteine	ENSP01430074676	Well annotated
SELENOP.3.selenocysteine	ENSP01430074677	Well annotated
SELENOP.3.selenocysteine	ENSP01430074678	Well annotated
SELENOS.2.selenocysteine	ENSP01430045148	Well annotated
SELENOS.2.selenocysteine	ENSP01430045149	Well annotated
SELENOS.2.selenocysteine	ENSP01430045151	Well annotated
SELENOS.2.selenocysteine	ENSP01430045153	Upstream
SELENOT.5.selenocysteine	ENSP01430055790	Downstream
SELENOT.5.selenocysteine	ENSP01430055793	Downstream
SELENOT.5.selenocysteine	ENSP01430055795	Well annotated
SELENOT.5.selenocysteine	ENSP01430055797	Upstream
SELENOT.5.selenocysteine	ENSP01430055799	Downstream
SELENOW.3.selenocysteine	ENSP01430029102	Well annotated
SELENOW.4.selenocysteine	ENSP01430013682	Well annotated
SELENOW.4.selenocysteine	ENSP01430013683	Well annotated
SELENOW.4.selenocysteine	ENSP01430013685	Well annotated
SELENOW.4.selenocysteine	ENSP01430013686	Well annotated
SEPHS2.1.selenocysteine	ENSP01430052091	Well annotated
TXNRD.10.selenocysteine	ENSP01430035377	Well annotated
TXNRD.10.selenocysteine	ENSP01430035380	Upstream
TXNRD.10.selenocysteine	ENSP01430035382	Well annotated
TXNRD.10.selenocysteine	ENSP01430035383	Well annotated
TXNRD.10.selenocysteine	ENSP01430035385	Upstream
TXNRD.10.selenocysteine	ENSP01430035387	Well annotated
TXNRD.10.selenocysteine	ENSP01430035389	Upstream
TXNRD.10.selenocysteine	ENSP01430035391	Well annotated
TXNRD.10.selenocysteine	ENSP01430035394	Upstream
TXNRD.10.selenocysteine	ENSP01430035397	Well annotated
TXNRD.10.selenocysteine	ENSP01430035400	Upstream
TXNRD.10.selenocysteine	ENSP01430035402	Upstream
TXNRD.10.selenocysteine	ENSP01430035404	Well annotated
TXNRD.10.selenocysteine	ENSP01430035406	Upstream
TXNRD.10.selenocysteine	ENSP01430035407	Upstream
TXNRD.13.selenocysteine	ENSP01430087239	Well annotated
TXNRD.13.selenocysteine	ENSP01430087240	Well annotated
TXNRD.34.selenocysteine	ENSP01430000329	Well annotated
TXNRD.34.selenocysteine	ENSP01430000330	Well annotated
TXNRD.34.selenocysteine	ENSP01430000331	Out of frame
TXNRD.34.selenocysteine	ENSP01430000332	Well annotated
TXNRD.34.selenocysteine	ENSP01430000333	Well annotated
TXNRD.34.selenocysteine	ENSP01430000334	Well annotated
TXNRD.34.selenocysteine	ENSP01430000335	Well annotated
TXNRD.34.selenocysteine	ENSP01430000336	Well annotated
TXNRD.34.selenocysteine	ENSP01430000337	Well annotated
TXNRD.34.selenocysteine	ENSP01430000338	Well annotated
TXNRD.34.selenocysteine	ENSP01430000339	Upstream
TXNRD.34.selenocysteine	ENSP01430000340	Upstream
