transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSTDLP00000005113	Stop codon
DIO.1.selenocysteine	ENSTDLP00000017876	Downstream
DIO.2.selenocysteine	ENSTDLP00000009582	Downstream
DIO.2.selenocysteine	ENSTDLP00000014240	Stop codon
DIO.7.selenocysteine	ENSTDLP00000017475	Skipped
GPX.11.selenocysteine	ENSTDLP00000031794	Skipped
GPX.11.selenocysteine	ENSTDLP00000031848	Skipped
GPX.11.selenocysteine	ENSTDLP00000031860	Skipped
GPX.11.selenocysteine	ENSTDLP00000031894	Skipped
GPX.11.selenocysteine	ENSTDLP00000031915	Skipped
GPX.11.selenocysteine	ENSTDLP00000031981	Skipped
GPX.11.selenocysteine	ENSTDLP00000032024	Skipped
GPX.16.selenocysteine	ENSTDLP00000014887	Skipped
GPX.2.selenocysteine	ENSTDLP00000042204	Stop codon
GPX.2.selenocysteine	ENSTDLP00000042212	Downstream
GPX.23.selenocysteine	ENSTDLP00000002763	Skipped
GPX.4.selenocysteine	ENSTDLP00000035584	Out of frame
GPX.4.selenocysteine	ENSTDLP00000035587	Skipped
GPX.4.selenocysteine	ENSTDLP00000035611	Skipped
GPX.4.selenocysteine	ENSTDLP00000035612	Skipped
GPX.4.selenocysteine	ENSTDLP00000035619	Skipped
GPX.4.selenocysteine	ENSTDLP00000035622	Skipped
GPX.4.selenocysteine	ENSTDLP00000035623	Skipped
GPX.7.selenocysteine	ENSTDLP00000038893	Skipped
GPX.7.selenocysteine	ENSTDLP00000038899	Skipped
MSRB.1.selenocysteine	ENSTDLP00000017471	Skipped
MSRB.10.selenocysteine	ENSTDLP00000035374	Stop codon
SELENOF.1.selenocysteine	ENSTDLP00000046010	Well annotated
SELENOI.2.selenocysteine	ENSTDLP00000049184	Skipped
SELENOI.2.selenocysteine	ENSTDLP00000049186	Skipped
SELENOJ.5.selenocysteine	ENSTDLP00000024713	Skipped
SELENOK.1.selenocysteine	ENSTDLP00000000869	Stop codon
SELENON.10.selenocysteine	ENSTDLP00000011683	Skipped
SELENOO.2.selenocysteine	ENSTDLP00000016534	Stop codon
SELENOP.1.selenocysteine	ENSTDLP00000029325	Skipped
SELENOT.3.selenocysteine	ENSTDLP00000045501	Well annotated
SELENOT.5.selenocysteine	ENSTDLP00000029898	Skipped
SELENOT.8.selenocysteine	ENSTDLP00000024348	Downstream
SELENOT.8.selenocysteine	ENSTDLP00000024354	Upstream
SELENOT.8.selenocysteine	ENSTDLP00000024357	Stop codon
SELENOU.10.selenocysteine	ENSTDLP00000001502	Skipped
SELENOU.6.selenocysteine	ENSTDLP00000024926	Skipped
SELENOW.1.selenocysteine	ENSTDLP00000023531	Downstream
SELENOW.3.selenocysteine	ENSTDLP00000023535	Skipped
SELENOW.4.selenocysteine	ENSTDLP00000007724	Downstream
SEPHS2.5.selenocysteine	ENSTDLP00000041289	Downstream
TXNRD.13.selenocysteine	ENSTDLP00000013791	Upstream
TXNRD.13.selenocysteine	ENSTDLP00000013868	Stop codon
TXNRD.13.selenocysteine	ENSTDLP00000013873	Stop codon
TXNRD.13.selenocysteine	ENSTDLP00000013877	Stop codon
TXNRD.13.selenocysteine	ENSTDLP00000013884	Stop codon
TXNRD.7.selenocysteine	ENSTDLP00000008824	Stop codon
TXNRD.7.selenocysteine	ENSTDLP00000008831	Stop codon
