transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSAMXP00025076337	Downstream
DIO.1.selenocysteine	ENSAMXP00025076338	Stop codon
DIO.2.selenocysteine	ENSAMXP00025065215	Stop codon
DIO.2.selenocysteine	ENSAMXP00025065220	Downstream
DIO.4.selenocysteine	ENSAMXP00025024813	Skipped
DIO.5.selenocysteine	ENSAMXP00025028968	Downstream
GPX.10.selenocysteine	ENSAMXP00025050746	Skipped
GPX.10.selenocysteine	ENSAMXP00025050765	Skipped
GPX.10.selenocysteine	ENSAMXP00025050802	Skipped
GPX.10.selenocysteine	ENSAMXP00025050814	Skipped
GPX.14.selenocysteine	ENSAMXP00025020248	Skipped
GPX.14.selenocysteine	ENSAMXP00025020312	Skipped
GPX.14.selenocysteine	ENSAMXP00025020333	Skipped
GPX.14.selenocysteine	ENSAMXP00025020352	Skipped
GPX.16.selenocysteine	ENSAMXP00025047705	Skipped
GPX.16.selenocysteine	ENSAMXP00025047722	Skipped
GPX.16.selenocysteine	ENSAMXP00025047749	Skipped
GPX.2.selenocysteine	ENSAMXP00025050820	Downstream
GPX.4.selenocysteine	ENSAMXP00025077112	Skipped
GPX.4.selenocysteine	ENSAMXP00025077113	Skipped
GPX.4.selenocysteine	ENSAMXP00025077114	Skipped
GPX.4.selenocysteine	ENSAMXP00025077115	Skipped
GPX.4.selenocysteine	ENSAMXP00025077116	Skipped
GPX.5.selenocysteine	ENSAMXP00025063918	Skipped
MSRB.1.selenocysteine	ENSAMXP00025026486	Stop codon
MSRB.3.selenocysteine	ENSAMXP00025038259	Skipped
SELENOF.1.selenocysteine	ENSAMXP00025015999	Skipped
SELENOH.1.selenocysteine	ENSAMXP00025030968	Skipped
SELENOI.3.selenocysteine	ENSAMXP00025033607	Stop codon
SELENOJ.3.selenocysteine	ENSAMXP00025010602	Skipped
SELENOK.1.selenocysteine	ENSAMXP00025010659	Stop codon
SELENOK.1.selenocysteine	ENSAMXP00025010660	Stop codon
SELENOL.5.selenocysteine	ENSAMXP00025001580	Downstream
SELENOL.5.selenocysteine	ENSAMXP00025001588	Stop codon
SELENOM.3.selenocysteine	ENSAMXP00025017181	Skipped
SELENON.8.selenocysteine	ENSAMXP00025005806	Skipped
SELENON.8.selenocysteine	ENSAMXP00025005822	Skipped
SELENON.8.selenocysteine	ENSAMXP00025005832	Skipped
SELENOO.1.selenocysteine	ENSAMXP00025057526	Stop codon
SELENOO.9.selenocysteine	ENSAMXP00025012648	Upstream
SELENOP.6.selenocysteine	ENSAMXP00025004232	Downstream
SELENOS.3.selenocysteine	ENSAMXP00025048422	Stop codon
SELENOT.1.selenocysteine	ENSAMXP00025013163	Skipped
SELENOT.4.selenocysteine	ENSAMXP00025002730	Downstream
SELENOT.4.selenocysteine	ENSAMXP00025002735	Stop codon
SELENOT.7.selenocysteine	ENSAMXP00025070823	Skipped
SELENOT.7.selenocysteine	ENSAMXP00025070826	Skipped
SELENOU.10.selenocysteine	ENSAMXP00025058515	Skipped
SELENOU.13.selenocysteine	ENSAMXP00025021538	Skipped
SELENOU.13.selenocysteine	ENSAMXP00025021554	Skipped
SELENOU.6.selenocysteine	ENSAMXP00025058479	Skipped
SELENOW.1.selenocysteine	ENSAMXP00025046278	Downstream
SELENOW.1.selenocysteine	ENSAMXP00025046295	Downstream
SELENOW.2.selenocysteine	ENSAMXP00025035138	Skipped
SEPHS2.12.selenocysteine	ENSAMXP00025028017	Skipped
SEPHS2.12.selenocysteine	ENSAMXP00025028057	Skipped
TXNRD.20.selenocysteine	ENSAMXP00025038568	Skipped
TXNRD.5.selenocysteine	ENSAMXP00025069646	Skipped
TXNRD.5.selenocysteine	ENSAMXP00025069663	Skipped
