transcript_id	transcript_id_ens	Type_annotation
GPX.19.selenocysteine	cds-CAN8027851.1	Downstream
GPX.5.selenocysteine	cds-CAN8020236.1	Downstream
MSRB.3.selenocysteine	cds-CAN8029771.1	Stop codon
MsrA.4.selenocysteine	cds-CAN8024220.1	Downstream
SELENOM.2.selenocysteine	cds-CAN8016869.1	Downstream
SELENOM.2.selenocysteine	cds-CAN8016870.1	Stop codon
SELENON.3.selenocysteine	cds-CAN8023005.1	Stop codon
SELENOP.3.selenocysteine	cds-CAN8028696.1	Downstream
SELENOS.2.selenocysteine	cds-CAN8013662.1	Stop codon
SELENOT.3.selenocysteine	cds-CAN8021870.1	Downstream
SELENOW.1.selenocysteine	cds-CAN8013839.1	Downstream
SEPHS2.3.selenocysteine	cds-CAN8025158.1	Downstream
SEPHS2.5.selenocysteine	cds-CAN8032092.1	Downstream
TXNRD.14.selenocysteine	cds-CAN8016097.1	Stop codon
TXNRD.14.selenocysteine	cds-CAN8016098.1	Upstream
