transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP03670069223	Downstream
DIO.1.selenocysteine	ENSP03670069224	Well annotated
DIO.3.selenocysteine	ENSP03670018117	Well annotated
DIO.3.selenocysteine	ENSP03670018118	Well annotated
DIO.3.selenocysteine	ENSP03670018120	Upstream
DIO.3.selenocysteine	ENSP03670018121	Out of frame
DIO.3.selenocysteine	ENSP03670018123	Upstream
DIO.3.selenocysteine	ENSP03670018124	Upstream
DIO.3.selenocysteine	ENSP03670018125	Upstream
DIO.4.selenocysteine	ENSP03670092037	Well annotated
DIO.4.selenocysteine	ENSP03670092038	Well annotated
DIO.4.selenocysteine	ENSP03670092039	Well annotated
DIO.4.selenocysteine	ENSP03670092040	Out of frame
DIO.4.selenocysteine	ENSP03670092041	Out of frame
DIO.4.selenocysteine	ENSP03670092042	Upstream
DIO.4.selenocysteine	ENSP03670092043	Out of frame
DIO.4.selenocysteine	ENSP03670092044	Skipped
DIO.4.selenocysteine	ENSP03670092045	Downstream
DIO.4.selenocysteine	ENSP03670092046	Well annotated
DIO.4.selenocysteine	ENSP03670092047	Upstream
DIO.4.selenocysteine	ENSP03670092048	Upstream
GPX.11.selenocysteine	ENSP03670045575	Well annotated
GPX.11.selenocysteine	ENSP03670045579	Well annotated
GPX.11.selenocysteine	ENSP03670045580	Well annotated
GPX.11.selenocysteine	ENSP03670045582	Well annotated
GPX.11.selenocysteine	ENSP03670045583	Well annotated
GPX.11.selenocysteine	ENSP03670045584	Well annotated
GPX.11.selenocysteine	ENSP03670045585	Well annotated
GPX.11.selenocysteine	ENSP03670045586	Downstream
GPX.11.selenocysteine	ENSP03670045587	Well annotated
GPX.11.selenocysteine	ENSP03670045588	Well annotated
GPX.11.selenocysteine	ENSP03670045589	Well annotated
GPX.11.selenocysteine	ENSP03670045593	Downstream
GPX.16.selenocysteine	ENSP03670043376	Well annotated
GPX.16.selenocysteine	ENSP03670043378	Well annotated
GPX.16.selenocysteine	ENSP03670043380	Upstream
GPX.16.selenocysteine	ENSP03670043381	Upstream
GPX.16.selenocysteine	ENSP03670043383	Out of frame
GPX.18.selenocysteine	ENSP03670000206	Well annotated
GPX.18.selenocysteine	ENSP03670000207	Well annotated
GPX.3.selenocysteine	ENSP03670046265	Well annotated
GPX.3.selenocysteine	ENSP03670046266	Well annotated
GPX.3.selenocysteine	ENSP03670046267	Skipped
GPX.3.selenocysteine	ENSP03670046268	Well annotated
GPX.3.selenocysteine	ENSP03670046269	Well annotated
GPX.3.selenocysteine	ENSP03670046270	Well annotated
GPX.3.selenocysteine	ENSP03670046271	Skipped
GPX.3.selenocysteine	ENSP03670046272	Well annotated
GPX.3.selenocysteine	ENSP03670046273	Well annotated
GPX.3.selenocysteine	ENSP03670046274	Well annotated
GPX.3.selenocysteine	ENSP03670046275	Well annotated
GPX.3.selenocysteine	ENSP03670046276	Upstream
GPX.3.selenocysteine	ENSP03670046277	Well annotated
GPX.3.selenocysteine	ENSP03670046278	Well annotated
GPX.5.selenocysteine	ENSP03670037435	Well annotated
GPX.5.selenocysteine	ENSP03670037437	Well annotated
GPX.5.selenocysteine	ENSP03670037438	Skipped
GPX.5.selenocysteine	ENSP03670037440	Well annotated
MSRB.3.selenocysteine	ENSP03670100222	Well annotated
MSRB.3.selenocysteine	ENSP03670100223	Upstream
MSRB.3.selenocysteine	ENSP03670100224	Out of frame
MSRB.3.selenocysteine	ENSP03670100225	Out of frame
SELENOF.3.selenocysteine	ENSP03670061569	Well annotated
SELENOF.3.selenocysteine	ENSP03670061571	Well annotated
SELENOF.3.selenocysteine	ENSP03670061572	Well annotated
SELENOF.3.selenocysteine	ENSP03670061574	Out of frame
SELENOF.3.selenocysteine	ENSP03670061576	Out of frame
SELENOH.1.selenocysteine	ENSP03670102395	Well annotated
SELENOH.1.selenocysteine	ENSP03670102396	Well annotated
SELENOH.1.selenocysteine	ENSP03670102397	Out of frame
SELENOI.3.selenocysteine	ENSP03670013306	Upstream
SELENOI.3.selenocysteine	ENSP03670013307	Well annotated
SELENOI.3.selenocysteine	ENSP03670013308	Upstream
SELENOK.7.selenocysteine	ENSP03670103345	Well annotated
SELENOK.7.selenocysteine	ENSP03670103346	Out of frame
SELENOM.2.selenocysteine	ENSP03670001438	Well annotated
SELENOM.2.selenocysteine	ENSP03670001439	Well annotated
SELENON.4.selenocysteine	ENSP03670068986	Well annotated
SELENON.4.selenocysteine	ENSP03670068987	Well annotated
SELENON.4.selenocysteine	ENSP03670068988	Well annotated
SELENON.4.selenocysteine	ENSP03670068989	Well annotated
SELENOO.7.selenocysteine	ENSP03670037357	Well annotated
SELENOP.3.selenocysteine	ENSP03670032880	Well annotated
SELENOP.3.selenocysteine	ENSP03670032881	Well annotated
SELENOP.3.selenocysteine	ENSP03670032882	Well annotated
SELENOP.3.selenocysteine	ENSP03670032883	Well annotated
SELENOP.3.selenocysteine	ENSP03670032884	Well annotated
SELENOP.3.selenocysteine	ENSP03670032885	Well annotated
SELENOS.2.selenocysteine	ENSP03670098727	Well annotated
SELENOS.2.selenocysteine	ENSP03670098728	Well annotated
SELENOS.2.selenocysteine	ENSP03670098729	Well annotated
SELENOS.2.selenocysteine	ENSP03670098730	Upstream
SELENOT.5.selenocysteine	ENSP03670089309	Downstream
SELENOT.5.selenocysteine	ENSP03670089310	Downstream
SELENOT.5.selenocysteine	ENSP03670089311	Well annotated
SELENOT.5.selenocysteine	ENSP03670089312	Upstream
SELENOT.5.selenocysteine	ENSP03670089313	Downstream
SELENOW.3.selenocysteine	ENSP03670034232	Well annotated
SELENOW.4.selenocysteine	ENSP03670005241	Well annotated
SELENOW.4.selenocysteine	ENSP03670005242	Well annotated
SELENOW.4.selenocysteine	ENSP03670005243	Well annotated
SELENOW.4.selenocysteine	ENSP03670005244	Well annotated
SEPHS2.1.selenocysteine	ENSP03670098543	Well annotated
TXNRD.10.selenocysteine	ENSP03670110530	Upstream
TXNRD.10.selenocysteine	ENSP03670110531	Upstream
TXNRD.10.selenocysteine	ENSP03670110532	Well annotated
TXNRD.10.selenocysteine	ENSP03670110533	Upstream
