transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCHSP00035017008	Stop codon
DIO.1.selenocysteine	ENSCHSP00035017106	Downstream
DIO.12.selenocysteine	ENSCHSP00035009452	Downstream
DIO.12.selenocysteine	ENSCHSP00035009466	Stop codon
DIO.2.selenocysteine	ENSCHSP00035042438	Downstream
GPX.11.selenocysteine	ENSCHSP00035041061	Downstream
GPX.11.selenocysteine	ENSCHSP00035041086	Downstream
GPX.11.selenocysteine	ENSCHSP00035041100	Downstream
GPX.11.selenocysteine	ENSCHSP00035041122	Skipped
GPX.18.selenocysteine	ENSCHSP00035033162	Downstream
GPX.18.selenocysteine	ENSCHSP00035033204	Skipped
GPX.19.selenocysteine	ENSCHSP00035008652	Downstream
GPX.2.selenocysteine	ENSCHSP00035056806	Downstream
GPX.2.selenocysteine	ENSCHSP00035056808	Downstream
GPX.5.selenocysteine	ENSCHSP00035032646	Skipped
MSRB.2.selenocysteine	ENSCHSP00035046578	Stop codon
SELENOF.3.selenocysteine	ENSCHSP00035033690	Skipped
SELENOI.8.selenocysteine	ENSCHSP00035053116	Upstream
SELENOI.8.selenocysteine	ENSCHSP00035053133	Skipped
SELENOI.8.selenocysteine	ENSCHSP00035053142	Upstream
SELENOI.8.selenocysteine	ENSCHSP00035053145	Stop codon
SELENOL.5.selenocysteine	ENSCHSP00035019763	Downstream
SELENOM.1.selenocysteine	ENSCHSP00035010657	Downstream
SELENON.5.selenocysteine	ENSCHSP00035044789	Skipped
SELENON.5.selenocysteine	ENSCHSP00035044800	Skipped
SELENOO.4.selenocysteine	ENSCHSP00035054329	Upstream
SELENOO.4.selenocysteine	ENSCHSP00035054332	Upstream
SELENOO.4.selenocysteine	ENSCHSP00035054337	Stop codon
SELENOP.3.selenocysteine	ENSCHSP00035038319	Skipped
SELENOS.3.selenocysteine	ENSCHSP00035010622	Stop codon
SELENOT.2.selenocysteine	ENSCHSP00035005761	Downstream
SELENOT.2.selenocysteine	ENSCHSP00035005762	Downstream
SELENOU.3.selenocysteine	ENSCHSP00035044391	Downstream
SELENOU.3.selenocysteine	ENSCHSP00035044421	Stop codon
TXNRD.14.selenocysteine	ENSCHSP00035023639	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035023772	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035023805	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035023892	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035023994	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035024032	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035024043	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035024091	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035024117	Upstream
TXNRD.14.selenocysteine	ENSCHSP00035024125	Upstream
TXNRD.29.selenocysteine	ENSCHSP00035004929	Stop codon
TXNRD.29.selenocysteine	ENSCHSP00035004935	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025154	Upstream
TXNRD.8.selenocysteine	ENSCHSP00035025359	Upstream
TXNRD.8.selenocysteine	ENSCHSP00035025516	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025626	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025652	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025661	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025704	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025914	Skipped
TXNRD.8.selenocysteine	ENSCHSP00035025924	Stop codon
TXNRD.8.selenocysteine	ENSCHSP00035025951	Stop codon
