transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	cds-CAL9686554.1	Stop codon
GPX.10.selenocysteine	cds-CAL1579847.1	Stop codon
GPX.10.selenocysteine	cds-CAL1579848.1	Downstream
GPX.14.selenocysteine	cds-CAL1592839.1	Downstream
GPX.14.selenocysteine	cds-CAL9695612.1	Stop codon
GPX.2.selenocysteine	cds-CAL1609426.1	Downstream
GPX.2.selenocysteine	cds-CAL9704836.1	Upstream
MSRB.4.selenocysteine	cds-CAL9693385.1	Stop codon
MSRB.8.selenocysteine	cds-CAL9698848.1	Stop codon
MSRB.8.selenocysteine	cds-CAL9698850.1	Stop codon
SELENOE.3.selenocysteine	cds-CAL1615758.1	Downstream
SELENOH.1.selenocysteine	cds-CAL9706926.1	Stop codon
SELENOI.6.selenocysteine	cds-CAL9692099.1	Stop codon
SELENOK.1.selenocysteine	cds-CAL9703751.1	Stop codon
SELENOM.2.selenocysteine	cds-CAL9708909.1	Downstream
SELENON.5.selenocysteine	cds-CAL9686536.1	Stop codon
SELENOO.1.selenocysteine	cds-CAL1595590.1	Stop codon
SELENOP.3.selenocysteine	cds-CAL9689133.1	Stop codon
SELENOP.3.selenocysteine	cds-CAL9689134.1	Downstream
SELENOS.3.selenocysteine	cds-CAL9701301.1	Stop codon
SELENOT.16.selenocysteine	cds-CAL9706468.1	Downstream
SELENOT.16.selenocysteine	cds-CAL9706469.1	Stop codon
SELENOU.10.selenocysteine	cds-CAL9699440.1	Stop codon
SEPHS2.8.selenocysteine	cds-CAL9703546.1	Downstream
TXNRD.10.selenocysteine	cds-CAL1616418.1	Stop codon
TXNRD.2.selenocysteine	cds-CAL1608750.1	Stop codon
