transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXL78469.1	Downstream
DIO.3.selenocysteine	cds-LEPASP_R14941	Well annotated
DIO.5.selenocysteine	cds-NXL78400.1	Stop codon
GPX.13.selenocysteine	cds-NXL77478.1	Stop codon
GPX.3.selenocysteine	cds-NXL75983.1	Downstream
GPX.5.selenocysteine	cds-NXL76795.1	Skipped
MSRB.1.selenocysteine	cds-NXL82181.1	Stop codon
SELENOF.3.selenocysteine	cds-NXL75428.1	Downstream
SELENOF.3.selenocysteine	cds-NXL75448.1	Upstream
SELENOH.2.selenocysteine	cds-NXL81649.1	Downstream
SELENOI.1.selenocysteine	cds-LEPASP_R07449	Out of frame
SELENOK.2.selenocysteine	cds-NXL76045.1	Stop codon
SELENON.5.selenocysteine	cds-NXL70141.1	Skipped
SELENOO.2.selenocysteine	cds-NXL80622.1	Stop codon
SELENOP.1.selenocysteine	cds-NXL69792.1	Downstream
SELENOP.4.selenocysteine	cds-NXL82518.1	Downstream
SELENOS.4.selenocysteine	cds-NXL75636.1	Stop codon
SELENOT.2.selenocysteine	cds-NXL72532.1	Downstream
SELENOU.6.selenocysteine	cds-NXL74981.1	Downstream
SELENOU.6.selenocysteine	cds-NXL75038.1	Stop codon
SEPHS2.8.selenocysteine	cds-NXL69894.1	Downstream
TXNRD.18.selenocysteine	cds-NXL71702.1	Upstream
TXNRD.34.selenocysteine	cds-LEPASP_R11477	Stop codon
TXNRD.8.selenocysteine	cds-NXL78140.1	Stop codon
