transcript_id	transcript_id_ens	Type_annotation
GPX.3.selenocysteine	ENSCGKP00000018678	Downstream
GPX.3.selenocysteine	ENSCGKP00000018686	Downstream
GPX.3.selenocysteine	ENSCGKP00000018693	Downstream
GPX.3.selenocysteine	ENSCGKP00000018700	Downstream
GPX.5.selenocysteine	ENSCGKP00000018686	Downstream
GPX.5.selenocysteine	ENSCGKP00000018693	Downstream
GPX.9.selenocysteine	ENSCGKP00000011371	Stop codon
GPX.9.selenocysteine	ENSCGKP00000011373	Stop codon
GPX.9.selenocysteine	ENSCGKP00000011377	Skipped
MSRB.3.selenocysteine	ENSCGKP00000013685	Stop codon
SELENOF.3.selenocysteine	ENSCGKP00000019739	Stop codon
SELENON.3.selenocysteine	ENSCGKP00000014378	Upstream
SELENON.3.selenocysteine	ENSCGKP00000014383	Stop codon
SELENON.3.selenocysteine	ENSCGKP00000014390	Skipped
SELENOP.1.selenocysteine	ENSCGKP00000008672	Downstream
TXNRD.22.selenocysteine	ENSCGKP00000000239	Stop codon
