transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSRTRP00005013567	Downstream
DIO.3.selenocysteine	ENSRTRP00005013667	Stop codon
DIO.5.selenocysteine	ENSRTRP00005017175	Upstream
DIO.5.selenocysteine	ENSRTRP00005017199	Downstream
GPX.1.selenocysteine	ENSRTRP00005006288	Skipped
GPX.3.selenocysteine	ENSRTRP00005005521	Skipped
GPX.6.selenocysteine	ENSRTRP00005000571	Skipped
GPX.9.selenocysteine	ENSRTRP00005007040	Skipped
SELENOF.3.selenocysteine	ENSRTRP00005001974	Skipped
SELENOI.6.selenocysteine	ENSRTRP00005000689	Stop codon
SELENOK.2.selenocysteine	ENSRTRP00005006793	Stop codon
SELENOM.2.selenocysteine	ENSRTRP00005004741	Out of frame
SELENON.8.selenocysteine	ENSRTRP00005010728	Skipped
SELENOO.8.selenocysteine	ENSRTRP00005007657	Stop codon
SELENOP.1.selenocysteine	ENSRTRP00005013021	Downstream
SELENOP.5.selenocysteine	ENSRTRP00005014558	Out of frame
SELENOS.5.selenocysteine	ENSRTRP00005006125	Stop codon
SELENOS.5.selenocysteine	ENSRTRP00005006130	Stop codon
SELENOT.3.selenocysteine	ENSRTRP00005012594	Downstream
SELENOU.7.selenocysteine	ENSRTRP00005015406	Skipped
TXNRD.16.selenocysteine	ENSRTRP00005020464	Stop codon
TXNRD.25.selenocysteine	ENSRTRP00005003494	Stop codon
TXNRD.4.selenocysteine	ENSRTRP00005007434	Stop codon
