transcript_id	transcript_id_ens	Type_annotation
DIO.4.selenocysteine	cds-XP_079314909.1	Well annotated
DIO.9.selenocysteine	cds-XP_079323966.1	Well annotated
DIO.9.selenocysteine	cds-XP_079323967.1	Well annotated
GPX.10.selenocysteine	cds-XP_079336206.1	Well annotated
GPX.17.selenocysteine	cds-XP_079309046.1	Well annotated
GPX.2.selenocysteine	cds-XP_079338914.1	Well annotated
GPX.21.selenocysteine	cds-XP_079332626.1	Well annotated
GPX.4.selenocysteine	cds-XP_079315892.1	Well annotated
GPX.6.selenocysteine	cds-XP_079315534.1	Well annotated
GPX.7.selenocysteine	cds-XP_079327881.1	Well annotated
MSRB.1.selenocysteine	cds-XP_079313720.1	Well annotated
MSRB.2.selenocysteine	cds-XP_079332075.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_079330011.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_079308626.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_079336168.1	Well annotated
SELENOI.4.selenocysteine	cds-XP_079333696.1	Well annotated
SELENOI.4.selenocysteine	cds-XP_079333697.1	Stop codon
SELENOJ.2.selenocysteine	cds-XP_079308884.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_079323070.1	Stop codon
SELENOL.5.selenocysteine	cds-XP_079331103.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_079331104.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_079331105.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_079331106.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_079331107.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_079331108.1	Well annotated
SELENON.8.selenocysteine	cds-XP_079314456.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_079321912.1	Stop codon
SELENOO.1.selenocysteine	cds-XP_079321913.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_079308832.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_079308833.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_079319312.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_079307988.1	Well annotated
SELENOT.4.selenocysteine	cds-XP_079335866.1	Well annotated
SELENOT.8.selenocysteine	cds-XP_079321957.1	Well annotated
SELENOU.12.selenocysteine	cds-XP_079332260.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_079329456.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_079329457.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_079313750.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_079313751.1	Well annotated
SEPHS2.8.selenocysteine	cds-XP_079333763.1	Well annotated
SEPHS2.8.selenocysteine	cds-XP_079333764.1	Downstream
TXNRD.11.selenocysteine	cds-XP_079336487.1	Stop codon
TXNRD.11.selenocysteine	cds-XP_079336488.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_079316812.1	Stop codon
