transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSHMPP00005026899	Skipped
DIO.3.selenocysteine	ENSHMPP00005020078	Skipped
GPX.1.selenocysteine	ENSHMPP00005008752	Skipped
GPX.1.selenocysteine	ENSHMPP00005008766	Skipped
GPX.10.selenocysteine	ENSHMPP00005003063	Skipped
GPX.10.selenocysteine	ENSHMPP00005003071	Downstream
GPX.2.selenocysteine	ENSHMPP00005010609	Downstream
GPX.6.selenocysteine	ENSHMPP00005001703	Skipped
MsrA.2.selenocysteine	ENSHMPP00005007152	Skipped
MsrA.2.selenocysteine	ENSHMPP00005007158	Downstream
SELENOF.1.selenocysteine	ENSHMPP00005020884	Stop codon
SELENOF.1.selenocysteine	ENSHMPP00005020896	Upstream
SELENOF.1.selenocysteine	ENSHMPP00005020906	Upstream
SELENOL.2.selenocysteine	ENSHMPP00005014934	Skipped
SELENON.2.selenocysteine	ENSHMPP00005014880	Skipped
SELENON.2.selenocysteine	ENSHMPP00005014899	Stop codon
SELENON.2.selenocysteine	ENSHMPP00005014909	Skipped
SELENOP.1.selenocysteine	ENSHMPP00005024668	Skipped
SELENOP.1.selenocysteine	ENSHMPP00005024678	Downstream
SELENOT.3.selenocysteine	ENSHMPP00005004604	Downstream
SELENOT.3.selenocysteine	ENSHMPP00005004615	Downstream
SELENOT.3.selenocysteine	ENSHMPP00005004620	Downstream
SELENOU.4.selenocysteine	ENSHMPP00005015824	Skipped
SELENOU.4.selenocysteine	ENSHMPP00005015832	Skipped
SELENOU.5.selenocysteine	ENSHMPP00005007925	Downstream
SELENOU.5.selenocysteine	ENSHMPP00005007937	Skipped
SEPHS2.4.selenocysteine	ENSHMPP00005010425	Downstream
TXNRD.18.selenocysteine	ENSHMPP00005006013	Stop codon
