transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NWZ29328.1	Downstream
DIO.3.selenocysteine	cds-NWZ29510.1	Downstream
DIO.5.selenocysteine	cds-ASASCU_R15408	Well annotated
GPX.1.selenocysteine	cds-NWZ30609.1	Downstream
GPX.3.selenocysteine	cds-NWZ30240.1	Downstream
GPX.4.selenocysteine	cds-NWZ20646.1	Skipped
MSRB.2.selenocysteine	cds-NWZ26245.1	Stop codon
SELENOF.1.selenocysteine	cds-NWZ20263.1	Downstream
SELENOH.1.selenocysteine	cds-NWZ20564.1	Downstream
SELENOI.3.selenocysteine	cds-ASASCU_R04776	Out of frame
SELENOK.2.selenocysteine	cds-NWZ25944.1	Stop codon
SELENON.3.selenocysteine	cds-NWZ28511.1	Skipped
SELENOO.1.selenocysteine	cds-NWZ21517.1	Stop codon
SELENOP.3.selenocysteine	cds-NWZ20308.1	Downstream
SELENOP.5.selenocysteine	cds-NWZ32112.1	Downstream
SELENOS.5.selenocysteine	cds-NWZ18927.1	Upstream
SELENOT.2.selenocysteine	cds-NWZ20507.1	Downstream
SELENOU.6.selenocysteine	cds-NWZ22241.1	Downstream
SELENOU.6.selenocysteine	cds-NWZ22312.1	Stop codon
TXNRD.21.selenocysteine	cds-NWZ21543.1	Upstream
TXNRD.34.selenocysteine	cds-NWZ25845.1	Stop codon
TXNRD.9.selenocysteine	cds-NWZ32665.1	Stop codon
