transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_011715282.2	Well annotated
DIO.3.selenocysteine	cds-XP_024653052.1	Well annotated
DIO.3.selenocysteine	cds-XP_070955896.1	Well annotated
DIO.3.selenocysteine	cds-XP_070955897.1	Well annotated
DIO.4.selenocysteine	cds-XP_011762579.2	Well annotated
DIO.4.selenocysteine	cds-XP_070948789.1	Well annotated
GPX.14.selenocysteine	cds-XP_070952231.1	Well annotated
GPX.2.selenocysteine	cds-XP_011737622.2	Well annotated
GPX.2.selenocysteine	cds-XP_070947819.1	Well annotated
GPX.20.selenocysteine	cds-XP_011714264.3	Well annotated
GPX.4.selenocysteine	cds-XP_011725947.2	Well annotated
GPX.7.selenocysteine	cds-XP_011747446.2	Well annotated
GPX.7.selenocysteine	cds-XP_024649957.1	Well annotated
GPX.7.selenocysteine	cds-XP_070943007.1	Well annotated
MSRB.2.selenocysteine	cds-XP_011746660.2	Well annotated
MSRB.2.selenocysteine	cds-XP_024649846.2	Well annotated
MSRB.2.selenocysteine	cds-XP_070939993.1	Out of frame
MSRB.2.selenocysteine	cds-XP_070939994.1	Upstream
SELENOF.3.selenocysteine	cds-XP_024648865.1	Well annotated
SELENOH.4.selenocysteine	cds-XP_011764412.2	Well annotated
SELENOH.4.selenocysteine	cds-XP_070930679.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_011736346.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_070932498.1	Upstream
SELENOK.11.selenocysteine	cds-XP_024648090.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_011748887.2	Well annotated
SELENON.7.selenocysteine	cds-XP_070954379.1	Well annotated
SELENON.7.selenocysteine	cds-XP_070954382.1	Well annotated
SELENON.7.selenocysteine	cds-XP_070954386.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_011753124.3	Well annotated
SELENOP.3.selenocysteine	cds-XP_011749213.3	Well annotated
SELENOP.3.selenocysteine	cds-XP_024650410.2	Well annotated
SELENOS.3.selenocysteine	cds-XP_011770059.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_011709203.2	Well annotated
SELENOW.1.selenocysteine	cds-XP_024652839.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_011763102.3	Well annotated
SELENOW.4.selenocysteine	cds-XP_024652892.2	Upstream
SEPHS2.1.selenocysteine	cds-XP_011741690.2	Well annotated
TXNRD.13.selenocysteine	cds-XP_024645025.2	Stop codon
TXNRD.13.selenocysteine	cds-XP_070948416.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_011738137.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_011738138.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_011738139.1	Upstream
TXNRD.8.selenocysteine	cds-XP_011767316.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_011767317.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_011767318.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_011767319.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_011767320.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_070927307.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_070927308.1	Stop codon
