transcript_id	transcript_id_ens	Type_annotation
DIO.4.selenocysteine	cds-EHH49923.1	Skipped
GPX.10.selenocysteine	cds-EHH62021.1	Spliced
GPX.2.selenocysteine	cds-EHH61886.1	Downstream
MSRB.2.selenocysteine	cds-EHH60054.1	Stop codon
SELENOH.2.selenocysteine	cds-EHH56218.1	Skipped
SELENOI.3.selenocysteine	cds-EHH55431.1	Upstream
SELENOK.1.selenocysteine	cds-EHH58552.1	Stop codon
SELENOM.2.selenocysteine	cds-EHH65764.1	Downstream
SELENOO.3.selenocysteine	cds-EHH65952.1	Stop codon
SELENOP.3.selenocysteine	cds-EHH54229.1	Out of frame
SELENOS.3.selenocysteine	cds-EHH63374.1	Stop codon
SELENOT.5.selenocysteine	cds-EHH51582.1	Skipped
SEPHS2.1.selenocysteine	cds-EHH60315.1	Skipped
TXNRD.13.selenocysteine	cds-EHH51116.1	Stop codon
TXNRD.9.selenocysteine	cds-EHH66656.1	Stop codon
