transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSNYBP00005012248	Downstream
DIO.3.selenocysteine	ENSNYBP00005011874	Downstream
DIO.3.selenocysteine	ENSNYBP00005011883	Upstream
DIO.5.selenocysteine	ENSNYBP00005008017	Upstream
DIO.5.selenocysteine	ENSNYBP00005008026	Downstream
GPX.1.selenocysteine	ENSNYBP00005000239	Skipped
GPX.3.selenocysteine	ENSNYBP00005000624	Out of frame
GPX.3.selenocysteine	ENSNYBP00005000625	Skipped
GPX.6.selenocysteine	ENSNYBP00005008380	Skipped
GPX.6.selenocysteine	ENSNYBP00005008391	Downstream
GPX.9.selenocysteine	ENSNYBP00005016613	Stop codon
GPX.9.selenocysteine	ENSNYBP00005016624	Downstream
SELENOF.3.selenocysteine	ENSNYBP00005002514	Skipped
SELENOI.6.selenocysteine	ENSNYBP00005017105	Stop codon
SELENOK.2.selenocysteine	ENSNYBP00005000106	Stop codon
SELENOM.2.selenocysteine	ENSNYBP00005006302	Out of frame
SELENON.8.selenocysteine	ENSNYBP00005013493	Skipped
SELENOO.8.selenocysteine	ENSNYBP00005007230	Stop codon
SELENOP.1.selenocysteine	ENSNYBP00005008060	Out of frame
SELENOP.4.selenocysteine	ENSNYBP00005024728	Downstream
SELENOS.5.selenocysteine	ENSNYBP00005019734	Stop codon
SELENOT.3.selenocysteine	ENSNYBP00005002721	Out of frame
TXNRD.20.selenocysteine	ENSNYBP00005025905	Stop codon
TXNRD.25.selenocysteine	ENSNYBP00005020194	Stop codon
TXNRD.25.selenocysteine	ENSNYBP00005020198	Stop codon
TXNRD.25.selenocysteine	ENSNYBP00005020204	Stop codon
TXNRD.25.selenocysteine	ENSNYBP00005020207	Stop codon
TXNRD.4.selenocysteine	ENSNYBP00005000281	Upstream
TXNRD.4.selenocysteine	ENSNYBP00005000282	Stop codon
