transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_030738971.1	Well annotated
DIO.3.selenocysteine	cds-XP_030687798.1	Well annotated
DIO.3.selenocysteine	cds-XP_030687799.1	Well annotated
DIO.5.selenocysteine	cds-XP_030726066.1	Well annotated
GPX.10.selenocysteine	cds-XP_030711101.1	Well annotated
GPX.17.selenocysteine	cds-XP_030701627.2	Well annotated
GPX.17.selenocysteine	cds-XP_060151607.1	Well annotated
GPX.2.selenocysteine	cds-XP_030722971.1	Well annotated
GPX.22.selenocysteine	cds-XP_030690019.1	Well annotated
GPX.4.selenocysteine	cds-XP_030705620.1	Downstream
MSRB.1.selenocysteine	cds-XP_060141222.1	Well annotated
MSRB.1.selenocysteine	cds-XP_060141223.1	Upstream
SELENOF.3.selenocysteine	cds-XP_030721989.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_060159191.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_030720226.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_030714053.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_030714054.1	Upstream
SELENOI.10.selenocysteine	cds-XP_030714055.1	Upstream
SELENOK.1.selenocysteine	cds-XP_030723306.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_030716698.1	Well annotated
SELENON.11.selenocysteine	cds-XP_030729784.2	Well annotated
SELENON.11.selenocysteine	cds-XP_030729792.2	Well annotated
SELENON.11.selenocysteine	cds-XP_060165444.1	Well annotated
SELENOO.12.selenocysteine	cds-XP_030711377.2	Well annotated
SELENOO.12.selenocysteine	cds-XP_030711378.2	Stop codon
SELENOP.3.selenocysteine	cds-XP_060151728.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_030728956.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_060149895.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_060149896.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_060149897.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_069900961.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_069900962.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_030729095.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_030729617.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_060145396.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_060145397.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_030727615.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_030712066.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_030712067.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_030712068.1	Stop codon
TXNRD.18.selenocysteine	cds-XP_060163867.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_030692310.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_030692311.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_030692312.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_030692313.1	Stop codon
