transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAN1733927.1	Downstream
GPX.13.selenocysteine	cds-KAN1727470.1	Downstream
GPX.13.selenocysteine	cds-KAN1727471.1	Stop codon
MSRB.1.selenocysteine	cds-KAN1735937.1	Stop codon
SELENOI.6.selenocysteine	cds-KAN1738004.1	Stop codon
SELENOK.2.selenocysteine	cds-KAN1731529.1	Stop codon
SELENOM.2.selenocysteine	cds-KAN1730201.1	Downstream
SELENOO.5.selenocysteine	cds-KAN1737624.1	Stop codon
SELENOS.5.selenocysteine	cds-KAN1731961.1	Stop codon
SELENOT.2.selenocysteine	cds-KAN1732245.1	Downstream
SELENOU.7.selenocysteine	cds-KAN1736379.1	Stop codon
TXNRD.15.selenocysteine	cds-KAN1737203.1	Stop codon
TXNRD.34.selenocysteine	cds-KAN1730392.1	Stop codon
TXNRD.8.selenocysteine	cds-KAN1731368.1	Stop codon
