transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSOARP00220028447	Upstream
DIO.5.selenocysteine	ENSOARP00220010063	Upstream
DIO.5.selenocysteine	ENSOARP00220010076	Stop codon
DIO.5.selenocysteine	ENSOARP00220010087	Skipped
DIO.5.selenocysteine	ENSOARP00220010092	Skipped
GPX.12.selenocysteine	ENSOARP00220038044	Skipped
GPX.2.selenocysteine	ENSOARP00220040024	Downstream
GPX.2.selenocysteine	ENSOARP00220040055	Downstream
GPX.25.selenocysteine	ENSOARP00220040137	Skipped
GPX.4.selenocysteine	ENSOARP00220020030	Downstream
GPX.8.selenocysteine	ENSOARP00220044845	Downstream
GPX.8.selenocysteine	ENSOARP00220044892	Skipped
MSRB.1.selenocysteine	ENSOARP00220029568	Stop codon
MSRB.1.selenocysteine	ENSOARP00220029581	Stop codon
SELENOF.3.selenocysteine	ENSOARP00220048816	Upstream
SELENOF.3.selenocysteine	ENSOARP00220048822	Stop codon
SELENOF.3.selenocysteine	ENSOARP00220048831	Stop codon
SELENOF.3.selenocysteine	ENSOARP00220048842	Skipped
SELENOH.1.selenocysteine	ENSOARP00220011722	Skipped
SELENOI.13.selenocysteine	ENSOARP00220010898	Stop codon
SELENOI.13.selenocysteine	ENSOARP00220010903	Stop codon
SELENOK.3.selenocysteine	ENSOARP00220050438	Stop codon
SELENOM.2.selenocysteine	ENSOARP00220040220	Skipped
SELENOM.2.selenocysteine	ENSOARP00220040250	Skipped
SELENON.8.selenocysteine	ENSOARP00220011005	Skipped
SELENOO.3.selenocysteine	ENSOARP00220000091	Stop codon
SELENOS.4.selenocysteine	ENSOARP00220012445	Stop codon
SELENOS.4.selenocysteine	ENSOARP00220012448	Stop codon
SELENOT.2.selenocysteine	ENSOARP00220003411	Skipped
SELENOW.5.selenocysteine	ENSOARP00220042778	Well annotated
SEPHS2.1.selenocysteine	ENSOARP00220050592	Skipped
TXNRD.14.selenocysteine	ENSOARP00220049935	Stop codon
TXNRD.14.selenocysteine	ENSOARP00220049948	Stop codon
TXNRD.14.selenocysteine	ENSOARP00220049954	Stop codon
TXNRD.14.selenocysteine	ENSOARP00220049960	Stop codon
TXNRD.29.selenocysteine	ENSOARP00220010852	Stop codon
TXNRD.29.selenocysteine	ENSOARP00220010859	Stop codon
TXNRD.29.selenocysteine	ENSOARP00220010866	Stop codon
TXNRD.29.selenocysteine	ENSOARP00220010874	Stop codon
TXNRD.5.selenocysteine	ENSOARP00220009378	Upstream
TXNRD.5.selenocysteine	ENSOARP00220009382	Stop codon
TXNRD.5.selenocysteine	ENSOARP00220009395	Stop codon
TXNRD.5.selenocysteine	ENSOARP00220009401	Stop codon
