transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSZGJP00005017117	Stop codon
DIO.4.selenocysteine	ENSZGJP00005011024	Stop codon
DIO.5.selenocysteine	ENSZGJP00005007021	Skipped
FrnE.5.selenocysteine	ENSZGJP00005017090	Downstream
GPX.11.selenocysteine	ENSZGJP00005009553	Skipped
GPX.11.selenocysteine	ENSZGJP00005009560	Skipped
GPX.11.selenocysteine	ENSZGJP00005009569	Skipped
GPX.16.selenocysteine	ENSZGJP00005012458	Skipped
GPX.16.selenocysteine	ENSZGJP00005012466	Downstream
GPX.3.selenocysteine	ENSZGJP00005002803	Skipped
GPX.4.selenocysteine	ENSZGJP00005000197	Skipped
GPX.4.selenocysteine	ENSZGJP00005000204	Skipped
GPX.7.selenocysteine	ENSZGJP00005008620	Downstream
GPX.7.selenocysteine	ENSZGJP00005008632	Downstream
GPX.7.selenocysteine	ENSZGJP00005009295	Skipped
GPX.7.selenocysteine	ENSZGJP00005009298	Skipped
GPX.7.selenocysteine	ENSZGJP00005009304	Downstream
MsrA.6.selenocysteine	ENSZGJP00005005403	Downstream
SELENOJ.1.selenocysteine	ENSZGJP00005011717	Upstream
SELENOJ.1.selenocysteine	ENSZGJP00005011728	Skipped
SELENON.2.selenocysteine	ENSZGJP00005001207	Stop codon
SELENON.2.selenocysteine	ENSZGJP00005001213	Skipped
SELENON.2.selenocysteine	ENSZGJP00005001226	Skipped
SELENOP.2.selenocysteine	ENSZGJP00005010890	Downstream
SELENOP.2.selenocysteine	ENSZGJP00005010897	Downstream
SELENOT.3.selenocysteine	ENSZGJP00005018607	Downstream
SEPHS2.4.selenocysteine	ENSZGJP00005007553	Skipped
SEPHS2.4.selenocysteine	ENSZGJP00005007566	Downstream
TXNRD.10.selenocysteine	ENSZGJP00005010385	Upstream
TXNRD.10.selenocysteine	ENSZGJP00005010396	Upstream
