transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSLALP00000010028	Stop codon
DIO.1.selenocysteine	ENSLALP00000010030	Downstream
DIO.2.selenocysteine	ENSLALP00000025180	Stop codon
DIO.2.selenocysteine	ENSLALP00000025181	Downstream
DIO.4.selenocysteine	ENSLALP00000010821	Stop codon
DIO.4.selenocysteine	ENSLALP00000010823	Downstream
DIO.6.selenocysteine	ENSLALP00000002609	Stop codon
DIO.6.selenocysteine	ENSLALP00000002614	Downstream
GPX.17.selenocysteine	ENSLALP00000007582	Downstream
GPX.17.selenocysteine	ENSLALP00000007584	Downstream
GPX.17.selenocysteine	ENSLALP00000007585	Downstream
GPX.17.selenocysteine	ENSLALP00000007586	Downstream
GPX.17.selenocysteine	ENSLALP00000007589	Downstream
GPX.19.selenocysteine	ENSLALP00000037781	Upstream
GPX.2.selenocysteine	ENSLALP00000028013	Downstream
GPX.4.selenocysteine	ENSLALP00000019492	Downstream
GPX.6.selenocysteine	ENSLALP00000023385	Downstream
GPX.6.selenocysteine	ENSLALP00000023386	Downstream
GPX.6.selenocysteine	ENSLALP00000023387	Skipped
GPX.7.selenocysteine	ENSLALP00000033037	Skipped
GPX.7.selenocysteine	ENSLALP00000033040	Downstream
GPX.9.selenocysteine	ENSLALP00000030482	Downstream
GPX.9.selenocysteine	ENSLALP00000030484	Well annotated
GPX.9.selenocysteine	ENSLALP00000030487	Upstream
MSRB.5.selenocysteine	ENSLALP00000019185	Stop codon
MSRB.7.selenocysteine	ENSLALP00000032142	Stop codon
MSRB.7.selenocysteine	ENSLALP00000032564	Downstream
MSRB.7.selenocysteine	ENSLALP00000032569	Downstream
MSRB.7.selenocysteine	ENSLALP00000032570	Downstream
SELENOF.1.selenocysteine	ENSLALP00000022604	Well annotated
SELENOH.1.selenocysteine	ENSLALP00000008740	Skipped
SELENOI.3.selenocysteine	ENSLALP00000020929	Stop codon
SELENOI.3.selenocysteine	ENSLALP00000020940	Stop codon
SELENOI.3.selenocysteine	ENSLALP00000020943	Skipped
SELENOI.3.selenocysteine	ENSLALP00000020944	Upstream
SELENOI.3.selenocysteine	ENSLALP00000020945	Upstream
SELENOJ.2.selenocysteine	ENSLALP00000069520	Skipped
SELENOK.1.selenocysteine	ENSLALP00000064769	Stop codon
SELENOL.3.selenocysteine	ENSLALP00000016701	Downstream
SELENOL.3.selenocysteine	ENSLALP00000016703	Stop codon
SELENOM.2.selenocysteine	ENSLALP00000050193	Downstream
SELENON.11.selenocysteine	ENSLALP00000008183	Skipped
SELENOO.4.selenocysteine	ENSLALP00000035559	Stop codon
SELENOO.4.selenocysteine	ENSLALP00000035561	Stop codon
SELENOO.4.selenocysteine	ENSLALP00000035570	Upstream
SELENOP.5.selenocysteine	ENSLALP00000038604	Downstream
SELENOS.2.selenocysteine	ENSLALP00000041672	Stop codon
SELENOT.3.selenocysteine	ENSLALP00000023931	Well annotated
SELENOT.3.selenocysteine	ENSLALP00000023933	Skipped
SELENOT.3.selenocysteine	ENSLALP00000023934	Downstream
SELENOT.7.selenocysteine	ENSLALP00000052434	Well annotated
SELENOT.7.selenocysteine	ENSLALP00000052437	Downstream
SELENOT.8.selenocysteine	ENSLALP00000051519	Skipped
SELENOU.4.selenocysteine	ENSLALP00000003042	Skipped
SELENOU.8.selenocysteine	ENSLALP00000056037	Downstream
SELENOU.8.selenocysteine	ENSLALP00000056039	Downstream
SELENOU.9.selenocysteine	ENSLALP00000056032	Downstream
SELENOU.9.selenocysteine	ENSLALP00000056033	Skipped
SELENOW.1.selenocysteine	ENSLALP00000015497	Downstream
SELENOW.2.selenocysteine	ENSLALP00000012503	Well annotated
SEPHS2.5.selenocysteine	ENSLALP00000013605	Downstream
SEPHS2.5.selenocysteine	ENSLALP00000013606	Skipped
SEPHS2.5.selenocysteine	ENSLALP00000013607	Downstream
TXNRD.10.selenocysteine	ENSLALP00000041451	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041615	Well annotated
TXNRD.10.selenocysteine	ENSLALP00000041616	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041643	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041651	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041710	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041715	Stop codon
TXNRD.10.selenocysteine	ENSLALP00000041733	Skipped
TXNRD.10.selenocysteine	ENSLALP00000041762	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064092	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064590	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064621	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064628	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064759	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064763	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064766	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064789	Stop codon
TXNRD.11.selenocysteine	ENSLALP00000064815	Skipped
TXNRD.11.selenocysteine	ENSLALP00000064826	Stop codon
