transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	ENSAVKP00000021284	Skipped
DIO.17.selenocysteine	ENSAVKP00000022755	Skipped
DIO.18.selenocysteine	ENSAVKP00000021482	Skipped
DIO.3.selenocysteine	ENSAVKP00000006155	Skipped
GPX.11.selenocysteine	ENSAVKP00000000662	Downstream
GPX.14.selenocysteine	ENSAVKP00000011732	Skipped
GPX.2.selenocysteine	ENSAVKP00000058800	Skipped
GPX.2.selenocysteine	ENSAVKP00000058807	Downstream
GPX.4.selenocysteine	ENSAVKP00000056906	Skipped
GPX.4.selenocysteine	ENSAVKP00000056911	Downstream
GPX.4.selenocysteine	ENSAVKP00000056916	Downstream
GPX.6.selenocysteine	ENSAVKP00000037123	Skipped
GPX.8.selenocysteine	ENSAVKP00000007715	Skipped
MSRB.4.selenocysteine	ENSAVKP00000020279	Skipped
MSRB.4.selenocysteine	ENSAVKP00000020287	Upstream
MsrA.2.selenocysteine	ENSAVKP00000000074	Skipped
SELENOF.1.selenocysteine	ENSAVKP00000021045	Skipped
SELENOF.1.selenocysteine	ENSAVKP00000021057	Skipped
SELENOF.1.selenocysteine	ENSAVKP00000021063	Skipped
SELENOH.1.selenocysteine	ENSAVKP00000039946	Downstream
SELENOJ.1.selenocysteine	ENSAVKP00000038981	Skipped
SELENOJ.1.selenocysteine	ENSAVKP00000038986	Stop codon
SELENOJ.1.selenocysteine	ENSAVKP00000038992	Stop codon
SELENOL.2.selenocysteine	ENSAVKP00000030745	Stop codon
SELENOL.2.selenocysteine	ENSAVKP00000030750	Skipped
SELENON.5.selenocysteine	ENSAVKP00000033161	Stop codon
SELENON.5.selenocysteine	ENSAVKP00000033171	Skipped
SELENON.5.selenocysteine	ENSAVKP00000033183	Skipped
SELENOO.6.selenocysteine	ENSAVKP00000039818	Stop codon
SELENOO.6.selenocysteine	ENSAVKP00000039827	Stop codon
SELENOO.6.selenocysteine	ENSAVKP00000039839	Stop codon
SELENOP.2.selenocysteine	ENSAVKP00000007342	Downstream
SELENOP.2.selenocysteine	ENSAVKP00000007347	Downstream
SELENOT.1.selenocysteine	ENSAVKP00000007418	Downstream
SELENOT.1.selenocysteine	ENSAVKP00000007428	Downstream
SELENOT.1.selenocysteine	ENSAVKP00000007437	Downstream
SELENOU.10.selenocysteine	ENSAVKP00000025566	Skipped
SELENOU.10.selenocysteine	ENSAVKP00000029180	Downstream
SELENOU.10.selenocysteine	ENSAVKP00000029192	Downstream
SEPHS2.3.selenocysteine	ENSAVKP00000008509	Skipped
SEPHS2.3.selenocysteine	ENSAVKP00000008523	Downstream
TXNRD.13.selenocysteine	ENSAVKP00000016885	Stop codon
TXNRD.13.selenocysteine	ENSAVKP00000016896	Stop codon
TXNRD.13.selenocysteine	ENSAVKP00000016909	Stop codon
TXNRD.13.selenocysteine	ENSAVKP00000016919	Stop codon
TXNRD.5.selenocysteine	ENSAVKP00000009707	Stop codon
TXNRD.5.selenocysteine	ENSAVKP00000009718	Stop codon
