transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_043904373.1	Well annotated
DIO.10.selenocysteine	cds-XP_043899828.1	Well annotated
DIO.4.selenocysteine	cds-XP_043903919.1	Well annotated
GPX.11.selenocysteine	cds-XP_043869827.1	Well annotated
GPX.16.selenocysteine	cds-XP_043899370.1	Well annotated
GPX.16.selenocysteine	cds-XP_043899371.1	Well annotated
GPX.20.selenocysteine	cds-XP_043901870.1	Well annotated
GPX.3.selenocysteine	cds-XP_043879076.1	Well annotated
GPX.4.selenocysteine	cds-XP_043879375.1	Well annotated
GPX.5.selenocysteine	cds-XP_043903760.1	Well annotated
GPX.8.selenocysteine	cds-XP_043896062.1	Well annotated
GPX.8.selenocysteine	cds-XP_043896064.1	Well annotated
MSRB.4.selenocysteine	cds-XP_043906688.1	Well annotated
MSRB.6.selenocysteine	cds-XP_043870110.1	Well annotated
MSRB.6.selenocysteine	cds-XP_043870111.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_043881257.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_043894298.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_043897042.1	Well annotated
SELENOI.6.selenocysteine	cds-XP_043904833.1	Well annotated
SELENOJ.14.selenocysteine	cds-XP_043899143.1	Well annotated
SELENOJ.14.selenocysteine	cds-XP_043899224.1	Well annotated
SELENOJ.14.selenocysteine	cds-XP_043899309.1	Well annotated
SELENOJ.6.selenocysteine	cds-XP_043886367.1	Well annotated
SELENOJ.6.selenocysteine	cds-XP_043886376.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_043893279.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_043893280.1	Well annotated
SELENOL.2.selenocysteine	cds-XP_043905445.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_043883090.1	Well annotated
SELENON.3.selenocysteine	cds-XP_043902822.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_043891833.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_043877382.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_043882518.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_043882519.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_043882520.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_043873712.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_043900506.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_043900515.1	Well annotated
SELENOU.11.selenocysteine	cds-XP_043869536.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_043901957.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_043901958.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_043901959.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_043901960.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_043901218.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_043906434.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_043893682.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_043882741.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_043879836.1	Stop codon
