transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_045757996.1	Well annotated
DIO.3.selenocysteine	cds-XP_045757286.1	Out of frame
DIO.5.selenocysteine	cds-XP_045753609.1	Well annotated
DIO.5.selenocysteine	cds-XP_045753610.1	Well annotated
DIO.5.selenocysteine	cds-XP_045753612.2	Well annotated
DIO.5.selenocysteine	cds-XP_064445171.1	Well annotated
DIO.5.selenocysteine	cds-XP_064445175.1	Well annotated
GPX.1.selenocysteine	cds-XP_045718341.1	Well annotated
GPX.12.selenocysteine	cds-XP_045758444.1	Well annotated
GPX.25.selenocysteine	cds-XP_045722176.1	Well annotated
GPX.25.selenocysteine	cds-XP_045722177.1	Well annotated
GPX.3.selenocysteine	cds-XP_045719450.1	Well annotated
GPX.3.selenocysteine	cds-XP_045719451.1	Well annotated
GPX.5.selenocysteine	cds-XP_064427242.1	Well annotated
MSRB.1.selenocysteine	cds-XP_045730652.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_045753234.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_054368737.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_045749571.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_045740190.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064428027.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064428028.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064428029.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064428030.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_045718119.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_045743262.1	Well annotated
SELENON.1.selenocysteine	cds-XP_045754357.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_045728259.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_045728260.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_045728261.2	Upstream
SELENOS.7.selenocysteine	cds-XP_045755483.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_045759510.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_064437690.1	Skipped
SELENOW.3.selenocysteine	cds-XP_045747806.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_064437780.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_045731290.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_045728657.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_045728658.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_045728660.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_045728661.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_064446767.1	Upstream
TXNRD.10.selenocysteine	cds-XP_064446768.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_045760149.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_054360513.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_054360514.1	Upstream
TXNRD.31.selenocysteine	cds-XP_045743090.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_045743091.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_064434099.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_064434100.1	Upstream
TXNRD.31.selenocysteine	cds-XP_064434101.1	Stop codon
