transcript_id	transcript_id_ens	Type_annotation
DIO.10.selenocysteine	cds-XP_082456187.1	Stop codon
DIO.10.selenocysteine	cds-XP_082456188.1	Downstream
DIO.3.selenocysteine	cds-XP_082434606.1	Downstream
DIO.3.selenocysteine	cds-XP_082435019.1	Stop codon
FrnE.2.selenocysteine	cds-XP_082432839.1	Downstream
GPX.15.selenocysteine	cds-XP_082435384.1	Downstream
SELENOL.2.selenocysteine	cds-XP_082452576.1	Well annotated
SELENON.3.selenocysteine	cds-XP_082447733.1	Well annotated
SELENON.3.selenocysteine	cds-XP_082447734.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_082449306.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_082437552.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_082443278.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_082443279.1	Stop codon
