transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01110001203	Downstream
DIO.1.selenocysteine	ENSP01110001204	Well annotated
DIO.3.selenocysteine	ENSP01110013795	Well annotated
DIO.3.selenocysteine	ENSP01110013802	Well annotated
DIO.3.selenocysteine	ENSP01110013820	Upstream
DIO.3.selenocysteine	ENSP01110013828	Out of frame
DIO.3.selenocysteine	ENSP01110013845	Upstream
DIO.3.selenocysteine	ENSP01110013856	Upstream
DIO.3.selenocysteine	ENSP01110013860	Upstream
DIO.4.selenocysteine	ENSP01110052218	Well annotated
DIO.4.selenocysteine	ENSP01110052258	Well annotated
DIO.4.selenocysteine	ENSP01110052308	Well annotated
DIO.4.selenocysteine	ENSP01110052331	Out of frame
DIO.4.selenocysteine	ENSP01110052380	Out of frame
DIO.4.selenocysteine	ENSP01110052409	Upstream
DIO.4.selenocysteine	ENSP01110052471	Out of frame
DIO.4.selenocysteine	ENSP01110052528	Skipped
DIO.4.selenocysteine	ENSP01110052562	Downstream
DIO.4.selenocysteine	ENSP01110052635	Well annotated
DIO.4.selenocysteine	ENSP01110052688	Upstream
DIO.4.selenocysteine	ENSP01110052737	Upstream
GPX.11.selenocysteine	ENSP01110008090	Well annotated
GPX.11.selenocysteine	ENSP01110008094	Well annotated
GPX.11.selenocysteine	ENSP01110008100	Well annotated
GPX.11.selenocysteine	ENSP01110008105	Well annotated
GPX.11.selenocysteine	ENSP01110008109	Well annotated
GPX.11.selenocysteine	ENSP01110008111	Well annotated
GPX.11.selenocysteine	ENSP01110008116	Well annotated
GPX.11.selenocysteine	ENSP01110008121	Downstream
GPX.11.selenocysteine	ENSP01110008127	Well annotated
GPX.11.selenocysteine	ENSP01110008130	Well annotated
GPX.11.selenocysteine	ENSP01110008133	Well annotated
GPX.11.selenocysteine	ENSP01110008137	Downstream
GPX.16.selenocysteine	ENSP01110048119	Well annotated
GPX.16.selenocysteine	ENSP01110048218	Well annotated
GPX.16.selenocysteine	ENSP01110048282	Upstream
GPX.16.selenocysteine	ENSP01110048333	Upstream
GPX.16.selenocysteine	ENSP01110048395	Out of frame
GPX.18.selenocysteine	ENSP01110000679	Well annotated
GPX.18.selenocysteine	ENSP01110000681	Well annotated
GPX.3.selenocysteine	ENSP01110090956	Well annotated
GPX.3.selenocysteine	ENSP01110090958	Well annotated
GPX.3.selenocysteine	ENSP01110090959	Skipped
GPX.3.selenocysteine	ENSP01110090961	Well annotated
GPX.3.selenocysteine	ENSP01110090962	Well annotated
GPX.3.selenocysteine	ENSP01110090963	Well annotated
GPX.3.selenocysteine	ENSP01110090965	Skipped
GPX.3.selenocysteine	ENSP01110090966	Well annotated
GPX.3.selenocysteine	ENSP01110090968	Well annotated
GPX.3.selenocysteine	ENSP01110090969	Well annotated
GPX.3.selenocysteine	ENSP01110090970	Well annotated
