transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_010849658.1	Well annotated
DIO.3.selenocysteine	cds-XP_010842708.1	Well annotated
DIO.6.selenocysteine	cds-XP_010845448.1	Well annotated
GPX.13.selenocysteine	cds-XP_010848894.1	Well annotated
GPX.17.selenocysteine	cds-XP_010855614.1	Well annotated
GPX.3.selenocysteine	cds-XP_010845064.1	Well annotated
GPX.5.selenocysteine	cds-XP_010842943.1	Well annotated
MSRB.3.selenocysteine	cds-XP_010844473.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_010858643.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_010838896.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_010849973.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_010827088.1	Well annotated
SELENON.8.selenocysteine	cds-XP_010828551.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_010840404.1	Stop codon
SELENOP.2.selenocysteine	cds-XP_010831114.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_010844112.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_010844113.1	Upstream
SELENOT.2.selenocysteine	cds-XP_010833661.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_010845749.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_010847524.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_010850972.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_010835629.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_010851712.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_010851713.1	Stop codon
