transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXS65041.1	Downstream
DIO.3.selenocysteine	cds-NXS69358.1	Downstream
DIO.5.selenocysteine	cds-NXS76710.1	Stop codon
GPX.11.selenocysteine	cds-NXS69104.1	Skipped
GPX.2.selenocysteine	cds-NXS70060.1	Downstream
MSRB.1.selenocysteine	cds-NXS67709.1	Stop codon
SELENOI.1.selenocysteine	cds-PANHAL_R01810	Out of frame
SELENOK.2.selenocysteine	cds-NXS72311.1	Stop codon
SELENON.4.selenocysteine	cds-NXS66498.1	Skipped
SELENOO.3.selenocysteine	cds-PANHAL_R08322	Stop codon
SELENOP.1.selenocysteine	cds-NXS69910.1	Downstream
SELENOP.3.selenocysteine	cds-NXS72468.1	Downstream
SELENOS.5.selenocysteine	cds-NXS65997.1	Upstream
SELENOT.3.selenocysteine	cds-NXS73505.1	Downstream
SELENOU.6.selenocysteine	cds-NXS75759.1	Stop codon
SELENOU.6.selenocysteine	cds-NXS75760.1	Downstream
